Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000000680,0,0,0,0,0,0
FRAEX38873_v2_000000690,1983,786,803,1122,1123,946
FRAEX38873_v2_000000700,366,221,289,282,220,161
FRAEX38873_v2_000000720,0,0,0,0,2,0
FRAEX38873_v2_000000730,0,0,0,7,30,33
FRAEX38873_v2_000000740,283,321,267,227,355,271
FRAEX38873_v2_000000760,7,8,2,15,9,12
FRAEX38873_v2_000000770,91,104,133,27,42,10
FRAEX38873_v2_000000780,246,285,282,603,1885,1297
FRAEX38873_v2_000000790,625,334,108,293,314,107
FRAEX38873_v2_000000800,79,29,25,39,58,10
FRAEX38873_v2_000000810,0,0,0,0,0,0
FRAEX38873_v2_000000820,1619,1786,2233,505,200,179
FRAEX38873_v2_000000830,0,8,0,0,0,0
FRAEX38873_v2_000000850,187,223,262,165,110,185
FRAEX38873_v2_000000860,1824,972,1297,2440,2922,2394
FRAEX38873_v2_000000870,7198,5563,9652,5637,4488,6762
FRAEX38873_v2_000000880,441,414,435,582,545,400
FRAEX38873_v2_000000890,30,33,51,46,10,18
FRAEX38873_v2_000000900,247,400,304,751,1315,1151
FRAEX38873_v2_000400810,31,55,42,60,44,119
FRAEX38873_v2_000400820,4,35,12,38,43,21
FRAEX38873_v2_000400830,31,18,5,36,60,17
FRAEX38873_v2_000400840,0,0,0,0,0,0
FRAEX38873_v2_000400850,59,251,33,133,198,77
FRAEX38873_v2_000400860,0,0,0,0,3,8
FRAEX38873_v2_000400870,0,0,0,0,0,0
FRAEX38873_v2_000400880,159,358,86,178,681,161
FRAEX38873_v2_000400890,758,3473,518,1090,2640,860
FRAEX38873_v2_000400900,859,2850,718,1346,2645,978
FRAEX38873_v2_000400910,39,179,45,75,99,60
FRAEX38873_v2_000400920,12,21,2,2,7,2
FRAEX38873_v2_000401030,1,0,2,0,1,0
FRAEX38873_v2_000401040,15,30,22,8,18,16
FRAEX38873_v2_000401050,69,92,14,35,145,26
FRAEX38873_v2_000401060,52,79,65,59,107,94
FRAEX38873_v2_000090760,7,3,7,86,221,535
FRAEX38873_v2_000090770,0,0,0,0,1,0
FRAEX38873_v2_000090780,0,0,3,46,135,496
FRAEX38873_v2_000090790,1,39,10,100,39,172
FRAEX38873_v2_000090800,7,43,15,55,75,86
FRAEX38873_v2_000090810,0,11,66,19,5,5
FRAEX38873_v2_000090820,3,34,40,2,23,68
FRAEX38873_v2_000090830,1032,847,809,543,694,567
FRAEX38873_v2_000090840,2,22,17,52,89,2
FRAEX38873_v2_000090850,58,142,162,123,137,234
FRAEX38873_v2_000090860,0,2,118,143,16,221
FRAEX38873_v2_000090870,1498,1384,1916,4222,6232,5006
FRAEX38873_v2_000090880,165,331,309,370,218,320
FRAEX38873_v2_000090890,26,50,105,196,129,48
FRAEX38873_v2_000090900,205,266,221,278,397,136
FRAEX38873_v2_000162390,740,1304,1326,1650,1758,3402
FRAEX38873_v2_000162400,706,677,848,787,501,711
FRAEX38873_v2_000162410,1253,1377,1800,2545,3640,3640
