Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000033130,37,101,252,0,58,33
FRAEX38873_v2_000033140,655,441,673,692,1010,942
FRAEX38873_v2_000033150,4744,3870,5384,3439,2159,2298
FRAEX38873_v2_000033160,5859,4199,5962,4539,2920,3706
FRAEX38873_v2_000033170,1309,820,2966,2401,736,1515
FRAEX38873_v2_000033180,590,313,451,395,373,318
FRAEX38873_v2_000033190,591,417,644,671,1002,736
FRAEX38873_v2_000033200,4501,7811,16039,705,12,272
FRAEX38873_v2_000033210,0,1,0,3,0,0
FRAEX38873_v2_000033220,439,262,428,295,237,413
FRAEX38873_v2_000033230,1167,517,697,770,861,567
FRAEX38873_v2_000033240,1212,1082,271,477,1113,500
FRAEX38873_v2_000033250,3088,2598,4230,2183,1710,2743
FRAEX38873_v2_000033260,213,230,355,193,44,254
FRAEX38873_v2_000033270,1194,951,1279,1437,1395,1202
FRAEX38873_v2_000033280,41,37,35,41,40,34
FRAEX38873_v2_000033290,282,142,85,62,47,37
FRAEX38873_v2_000033300,840,710,503,846,943,716
FRAEX38873_v2_000033310,0,0,0,0,0,0
FRAEX38873_v2_000033320,114,52,112,168,175,120
FRAEX38873_v2_000033330,43,20,102,110,102,69
FRAEX38873_v2_000033340,4,0,2,21,47,12
FRAEX38873_v2_000034170,9,0,0,2,0,58
FRAEX38873_v2_000034180,162,87,222,270,415,250
FRAEX38873_v2_000034190,283,407,415,293,440,577
FRAEX38873_v2_000034220,0,0,0,0,0,0
FRAEX38873_v2_000034230,0,0,0,0,0,0
FRAEX38873_v2_000034240,333,100,245,184,218,142
FRAEX38873_v2_000034250,0,18,18,12,2,5
FRAEX38873_v2_000034260,395,60,7,18,35,0
FRAEX38873_v2_000034270,677,92,21,8,36,10
FRAEX38873_v2_000034280,4789,1420,240,487,437,41
FRAEX38873_v2_000034290,0,0,0,0,0,0
FRAEX38873_v2_000034300,0,0,0,0,8,0
FRAEX38873_v2_000034310,788,1060,1226,1267,1192,1466
FRAEX38873_v2_000035410,0,0,0,0,0,0
FRAEX38873_v2_000035420,0,0,0,0,0,0
FRAEX38873_v2_000035430,442,934,728,203,89,155
FRAEX38873_v2_000035440,418,375,429,368,370,396
FRAEX38873_v2_000035450,140,164,161,92,124,100
FRAEX38873_v2_000035460,2012,2384,2660,2611,2229,2480
FRAEX38873_v2_000035470,230,223,229,265,324,253
FRAEX38873_v2_000035480,0,0,0,0,0,1
FRAEX38873_v2_000035490,0,0,0,0,0,0
FRAEX38873_v2_000035500,0,0,0,0,0,0
FRAEX38873_v2_000035510,20,1,9,3,0,0
FRAEX38873_v2_000035520,2724,1833,1488,2245,2085,2148
FRAEX38873_v2_000035530,97,78,149,97,99,106
FRAEX38873_v2_000035540,0,0,0,2,4,0
FRAEX38873_v2_000035550,0,0,6,5,43,9
FRAEX38873_v2_000035560,20,61,43,46,73,25
FRAEX38873_v2_000035570,9,36,0,0,1,0
FRAEX38873_v2_000035580,3289,4025,4623,4798,6531,5209
FRAEX38873_v2_000035590,713,730,628,710,783,738
FRAEX38873_v2_000035610,28,177,41,24,60,46
FRAEX38873_v2_000035620,1108,1138,1821,1299,982,1349
FRAEX38873_v2_000035630,2,4,7,0,1,8
FRAEX38873_v2_000035640,459,392,554,333,240,462
FRAEX38873_v2_000035650,315,182,0,10,38,51
FRAEX38873_v2_000035660,724,375,0,5,148,40
FRAEX38873_v2_000035670,9479,10428,10567,11139,7212,4377
FRAEX38873_v2_000035680,0,0,0,0,0,0
FRAEX38873_v2_000035690,479,426,542,585,446,261
FRAEX38873_v2_000036440,52,67,93,34,43,30
FRAEX38873_v2_000036450,17,19,2,1,1,0
FRAEX38873_v2_000036460,0,0,5,0,2,9
FRAEX38873_v2_000036470,6328,9180,8960,5735,6826,7642
FRAEX38873_v2_000036480,1016,824,1064,1310,941,980
FRAEX38873_v2_000036490,0,0,0,4,3,0
FRAEX38873_v2_000036500,0,0,0,10,7,3
FRAEX38873_v2_000036510,7,0,0,0,7,25
FRAEX38873_v2_000036520,0,12,4,1,5,4
FRAEX38873_v2_000036530,355,197,330,326,379,481
FRAEX38873_v2_000036540,45,15,14,47,74,90
FRAEX38873_v2_000036550,0,0,0,0,0,0
FRAEX38873_v2_000036560,377,351,486,409,163,165
FRAEX38873_v2_000037510,1228,866,603,901,1936,1827
FRAEX38873_v2_000037520,1711,1219,1845,2928,2261,3144
FRAEX38873_v2_000037530,925,851,545,931,883,273
FRAEX38873_v2_000037540,746,834,764,762,989,656
FRAEX38873_v2_000038340,126,106,81,272,220,32
FRAEX38873_v2_000038350,29,6,0,6,18,19
FRAEX38873_v2_000038360,722,883,1119,1357,516,787
FRAEX38873_v2_000038370,48,62,430,35,45,50
FRAEX38873_v2_000038380,43,45,39,21,72,19
FRAEX38873_v2_000038390,5,10,5,1,0,0
FRAEX38873_v2_000038400,0,0,33,0,0,1
FRAEX38873_v2_000038410,2,0,0,0,0,0
FRAEX38873_v2_000038420,741,825,452,681,1093,707
FRAEX38873_v2_000038430,998,606,674,809,579,570
FRAEX38873_v2_000039600,1,0,6,0,0,21
FRAEX38873_v2_000039610,60,146,268,87,18,149
FRAEX38873_v2_000039620,174,101,1474,629,0,682
FRAEX38873_v2_000039630,0,0,0,0,0,0
FRAEX38873_v2_000039640,64,20,245,740,390,319
FRAEX38873_v2_000039660,73,32,47,67,120,95
FRAEX38873_v2_000039670,0,0,2,0,0,2
FRAEX38873_v2_000039680,0,0,0,0,0,0
FRAEX38873_v2_000039690,215,136,183,268,400,420
FRAEX38873_v2_000039700,45,61,174,98,45,68
FRAEX38873_v2_000039710,15,43,16,2,4,0
FRAEX38873_v2_000039720,91,124,342,599,595,435
FRAEX38873_v2_000039730,789,780,5706,1507,693,1029
FRAEX38873_v2_000039740,1172,1244,1314,1432,1392,932
FRAEX38873_v2_000040520,17,0,2,11,56,12
FRAEX38873_v2_000040530,147,360,822,449,104,1030
FRAEX38873_v2_000040540,100,119,113,130,180,167
FRAEX38873_v2_000040550,0,0,0,0,0,0
FRAEX38873_v2_000040560,0,0,0,0,0,0
FRAEX38873_v2_000040570,0,0,0,0,0,0
FRAEX38873_v2_000040580,230,196,368,252,141,311
FRAEX38873_v2_000040590,157,162,110,227,149,189
FRAEX38873_v2_000040600,105,101,71,102,102,151
FRAEX38873_v2_000040610,0,0,0,0,0,0
FRAEX38873_v2_000040620,1,36,150,14,1092,135
FRAEX38873_v2_000040630,276,109,259,253,126,211
FRAEX38873_v2_000040640,1941,1691,2000,1872,1619,1426
FRAEX38873_v2_000040650,1728,1313,1630,1449,1384,1207
FRAEX38873_v2_000040660,0,0,0,0,0,0
FRAEX38873_v2_000040670,39472,29749,41467,53957,87782,91963
FRAEX38873_v2_000040680,205,371,230,245,118,202
FRAEX38873_v2_000040690,0,6,4,7,0,0
FRAEX38873_v2_000040700,100,38,80,93,49,46
FRAEX38873_v2_000040710,747,921,961,884,937,984
FRAEX38873_v2_000040720,609,703,570,707,1195,892
FRAEX38873_v2_000040730,0,0,0,0,0,0
FRAEX38873_v2_000040740,0,13,11,0,0,0
FRAEX38873_v2_000040750,494,421,565,780,433,588
FRAEX38873_v2_000040760,1162,1685,1200,1454,1140,758
FRAEX38873_v2_000040770,242,273,220,309,319,280
FRAEX38873_v2_000040780,369,364,278,460,1118,1054
FRAEX38873_v2_000040790,898,2460,2462,4986,5302,12545
FRAEX38873_v2_000041470,1,11,23,53,35,33
FRAEX38873_v2_000041480,1,4,24,7,11,9
FRAEX38873_v2_000041490,341,414,543,526,523,658
FRAEX38873_v2_000041500,252,306,290,322,258,393
FRAEX38873_v2_000041510,142,255,124,229,133,148
FRAEX38873_v2_000041520,7,0,2,62,0,0
FRAEX38873_v2_000041530,0,0,13,29,0,0
FRAEX38873_v2_000041540,395,183,603,123,197,926
FRAEX38873_v2_000041550,1353,1011,1028,789,548,530
FRAEX38873_v2_000041560,230,229,247,243,333,249
FRAEX38873_v2_000041570,0,0,0,4,3,2
FRAEX38873_v2_000041580,80,96,108,102,157,273
FRAEX38873_v2_000041590,54,53,80,129,159,81
FRAEX38873_v2_000041600,875,824,872,638,878,751
FRAEX38873_v2_000041610,0,0,0,0,0,0
FRAEX38873_v2_000041620,732,786,821,989,1003,823
FRAEX38873_v2_000041630,0,0,4,0,1,0
FRAEX38873_v2_000041640,1010,762,1254,1096,1287,1579
FRAEX38873_v2_000041650,1276,1495,1351,1992,3265,3499
FRAEX38873_v2_000041660,2176,2159,2171,1794,2270,2178
FRAEX38873_v2_000041670,476,425,594,320,375,615
FRAEX38873_v2_000041680,180,247,208,275,362,496
FRAEX38873_v2_000041690,485,542,730,682,1908,2519
FRAEX38873_v2_000041700,377,70,70,120,238,203
FRAEX38873_v2_000041710,263,269,430,283,202,521
FRAEX38873_v2_000041720,3,16,126,49,21,47
FRAEX38873_v2_000041730,0,0,0,0,0,0
FRAEX38873_v2_000041740,1011,907,1005,1131,948,830
FRAEX38873_v2_000041750,407,366,399,776,702,746
FRAEX38873_v2_000041760,41,25,22,31,18,28
FRAEX38873_v2_000041770,1085,1008,1351,1484,1366,1871
FRAEX38873_v2_000041780,0,1,5,4,1,0
FRAEX38873_v2_000041790,1737,668,966,1995,2988,2312
FRAEX38873_v2_000041800,1069,1198,1244,1194,713,1120
FRAEX38873_v2_000042670,0,0,0,0,0,0
FRAEX38873_v2_000042680,0,0,0,0,0,0
FRAEX38873_v2_000042690,10,0,0,121,4167,5614
FRAEX38873_v2_000043270,381,218,329,294,277,265
FRAEX38873_v2_000043280,0,0,0,0,0,0
FRAEX38873_v2_000043290,2742,3836,4491,10930,14947,17150
FRAEX38873_v2_000043300,6,19,20,7,39,79
FRAEX38873_v2_000043310,0,6,18,0,2,0
FRAEX38873_v2_000043320,427,564,484,545,555,664
FRAEX38873_v2_000043330,1306,1108,1472,1245,965,1324
FRAEX38873_v2_000043340,1071,792,1024,996,586,790
FRAEX38873_v2_000043350,0,0,0,0,0,0
FRAEX38873_v2_000043360,0,0,0,0,0,0
FRAEX38873_v2_000044170,2651,2297,3505,3035,2116,3109
FRAEX38873_v2_000044180,1102,2133,2599,2172,913,1789
FRAEX38873_v2_000044190,11,0,0,10,264,140
FRAEX38873_v2_000044200,5,0,10,20,160,2455
FRAEX38873_v2_000044210,480,429,468,605,581,489
FRAEX38873_v2_000044220,12,19,79,44,127,319
FRAEX38873_v2_000044230,0,0,12,0,1,0
FRAEX38873_v2_000044240,0,12,9,41,86,13
FRAEX38873_v2_000044250,0,0,0,0,0,0
FRAEX38873_v2_000044260,1779,1371,1895,1882,1603,1481
FRAEX38873_v2_000044270,25,169,119,113,54,113
FRAEX38873_v2_000044280,378,167,383,510,299,736
FRAEX38873_v2_000044930,1,0,0,0,0,0
FRAEX38873_v2_000044940,270,398,364,336,199,673
FRAEX38873_v2_000044950,337,534,427,493,99,116
FRAEX38873_v2_000044960,389,702,122,363,875,217
FRAEX38873_v2_000044970,334,291,133,125,57,54
FRAEX38873_v2_000044980,2,6,6,211,96,5
FRAEX38873_v2_000045760,699,36,93,77,13,44
FRAEX38873_v2_000045770,0,0,0,0,0,0
FRAEX38873_v2_000045780,229,252,124,240,288,346
FRAEX38873_v2_000045790,2155,2845,4244,1857,430,2754
FRAEX38873_v2_000045800,857,729,762,653,448,587
FRAEX38873_v2_000045810,0,0,0,0,0,0
FRAEX38873_v2_000045820,67,45,95,65,124,97
FRAEX38873_v2_000045830,1554,1406,1525,2854,4692,4520
FRAEX38873_v2_000045840,5812,5476,6244,6371,5555,6977
FRAEX38873_v2_000046730,602,804,263,59,19,16
FRAEX38873_v2_000046740,22,5,4,10,0,5
FRAEX38873_v2_000046750,125,100,132,128,208,262
FRAEX38873_v2_000046760,607,586,681,764,1247,1066
FRAEX38873_v2_000046770,0,0,0,1,0,4
FRAEX38873_v2_000046780,1842,839,1354,1254,983,1136
FRAEX38873_v2_000046790,0,0,0,0,0,0
FRAEX38873_v2_000046800,16,10,36,53,403,101
FRAEX38873_v2_000047350,0,0,0,0,0,0
FRAEX38873_v2_000047360,469,321,97,258,390,217
FRAEX38873_v2_000047370,314,414,675,235,19,45
FRAEX38873_v2_000047380,683,480,1494,562,534,691
FRAEX38873_v2_000047390,1037,1785,2192,1749,1608,1630
FRAEX38873_v2_000047400,0,0,0,0,0,0
FRAEX38873_v2_000047410,615,446,496,538,340,328
FRAEX38873_v2_000047420,469,661,554,262,157,239
FRAEX38873_v2_000047430,171,91,193,60,85,11
FRAEX38873_v2_000047440,134,118,87,64,23,108
FRAEX38873_v2_000047450,1140,885,1214,1798,1430,1954
FRAEX38873_v2_000047460,488,730,1459,487,464,498
FRAEX38873_v2_000047470,32,33,33,13,27,29
FRAEX38873_v2_000048250,277,204,246,461,532,455
FRAEX38873_v2_000048260,6341,7543,7896,5716,7262,4888
FRAEX38873_v2_000048270,31,49,101,135,125,201
FRAEX38873_v2_000048280,365,307,882,354,1045,1162
FRAEX38873_v2_000048290,5,15,39,28,0,3
FRAEX38873_v2_000048300,27,33,1,12,3,4
FRAEX38873_v2_000048310,66,19,46,41,19,86
FRAEX38873_v2_000048320,0,0,0,0,0,0
FRAEX38873_v2_000048330,629,840,1169,2188,2082,2160
FRAEX38873_v2_000048820,0,0,0,0,0,0
FRAEX38873_v2_000048830,250,131,449,1247,370,285
FRAEX38873_v2_000048840,735,786,534,876,655,746
FRAEX38873_v2_000048850,0,0,0,0,0,0
FRAEX38873_v2_000049480,1167,1018,1017,905,1053,945
FRAEX38873_v2_000049490,73,64,53,234,398,186
FRAEX38873_v2_000049500,753,661,652,806,1135,935
FRAEX38873_v2_000049510,631,580,691,1014,1255,1385
FRAEX38873_v2_000049520,5633,8753,6340,2172,1917,1741
FRAEX38873_v2_000049530,21,11,19,27,14,11
FRAEX38873_v2_000049540,943,1150,1170,989,760,563
FRAEX38873_v2_000049560,8,25,12,59,70,56
FRAEX38873_v2_000049570,3,1,7,58,41,7
FRAEX38873_v2_000049580,752,607,636,662,535,465
FRAEX38873_v2_000049590,1624,1790,1676,1636,1368,1304
FRAEX38873_v2_000049600,3903,3484,3963,3518,2860,2551
FRAEX38873_v2_000049610,18,43,5,48,39,9
FRAEX38873_v2_000049620,2594,3116,857,2726,1737,62
FRAEX38873_v2_000049630,100,109,162,122,132,81
FRAEX38873_v2_000049640,0,0,0,0,0,0
FRAEX38873_v2_000049650,2742,2673,3924,3862,3340,3952
FRAEX38873_v2_000049660,583,854,843,501,355,443
FRAEX38873_v2_000049670,3763,3711,5372,2828,1944,1142
FRAEX38873_v2_000049680,974,465,287,679,547,346
FRAEX38873_v2_000049690,873,707,306,1145,1183,467
FRAEX38873_v2_000049700,4,8,16,0,0,0
FRAEX38873_v2_000049710,334,285,598,301,229,402
FRAEX38873_v2_000049720,276,437,353,347,323,403
FRAEX38873_v2_000049730,170,168,316,178,140,175
FRAEX38873_v2_000049740,347,209,331,268,499,271
FRAEX38873_v2_000049750,8514,6742,6985,8652,10492,9782
FRAEX38873_v2_000049760,1050,619,798,675,366,268
FRAEX38873_v2_000049770,44,8,16,37,31,67
FRAEX38873_v2_000049780,11066,7485,5406,2268,1400,1572
FRAEX38873_v2_000049790,1882,1666,1801,1070,1142,672
FRAEX38873_v2_000049800,618,724,847,587,560,378
FRAEX38873_v2_000049810,83,65,75,122,54,186
FRAEX38873_v2_000049820,215,118,382,237,256,224
FRAEX38873_v2_000049830,3494,4475,3560,5069,5244,3204
FRAEX38873_v2_000049840,198,243,205,240,214,230
FRAEX38873_v2_000049850,23,234,166,194,117,383
FRAEX38873_v2_000049860,591,266,23,585,613,43
FRAEX38873_v2_000049870,40,35,43,31,35,28
FRAEX38873_v2_000049880,1092,914,910,1061,1298,1109
FRAEX38873_v2_000049890,691,648,659,562,309,448
FRAEX38873_v2_000049900,577,515,759,748,1065,879
FRAEX38873_v2_000049910,0,0,0,0,0,0
FRAEX38873_v2_000049920,1515,895,1584,1079,332,766
FRAEX38873_v2_000050730,2033,682,103,451,2154,374
FRAEX38873_v2_000050740,769,496,707,682,428,527
FRAEX38873_v2_000050750,2026,2264,1055,1674,1750,1448
FRAEX38873_v2_000050760,403,333,301,697,379,540
FRAEX38873_v2_000050770,246,365,66,656,383,29
FRAEX38873_v2_000050780,224,189,224,213,223,229
FRAEX38873_v2_000050790,223,917,2129,925,12,165
FRAEX38873_v2_000051550,3849,3514,3307,6231,9322,9265
FRAEX38873_v2_000051560,5030,4763,7080,5945,5872,4998
FRAEX38873_v2_000051570,217,153,144,165,153,234
FRAEX38873_v2_000051590,2779,540,20,224,1819,285
FRAEX38873_v2_000051600,0,0,0,0,0,0
FRAEX38873_v2_000051610,0,0,0,0,0,0
FRAEX38873_v2_000051620,0,0,0,0,0,0
FRAEX38873_v2_000051630,132,72,171,245,116,174
FRAEX38873_v2_000052470,109,172,99,331,370,385
FRAEX38873_v2_000052480,172,439,359,843,1942,2876
FRAEX38873_v2_000052490,0,0,0,0,0,0
FRAEX38873_v2_000052500,7,68,93,149,119,39
FRAEX38873_v2_000052510,296,555,524,619,1248,1025
FRAEX38873_v2_000052520,732,548,606,522,422,494
FRAEX38873_v2_000053080,156,259,254,342,401,345
FRAEX38873_v2_000053090,737,748,694,1108,1283,1039
FRAEX38873_v2_000053100,4,0,10,5,104,33
FRAEX38873_v2_000053110,0,0,0,0,0,0
FRAEX38873_v2_000053120,436,598,667,1131,1152,1359
FRAEX38873_v2_000053130,0,0,0,0,0,0
FRAEX38873_v2_000053140,286,301,342,208,155,204
FRAEX38873_v2_000053150,519,423,447,735,725,666
FRAEX38873_v2_000053160,147,78,199,373,308,436
FRAEX38873_v2_000053170,183,139,119,382,604,210
FRAEX38873_v2_000053180,402,346,414,615,623,739
FRAEX38873_v2_000053190,539,217,37,81,103,14
FRAEX38873_v2_000053200,18110,4496,196,244,2582,314
FRAEX38873_v2_000053210,1364,1715,193,2534,544,1078
FRAEX38873_v2_000053220,684,568,550,608,682,557
FRAEX38873_v2_000053230,138,89,140,198,129,218
FRAEX38873_v2_000053240,561,614,921,754,508,540
FRAEX38873_v2_000053250,14,13,22,9,10,6
FRAEX38873_v2_000053260,2,8,1,5,2,2
FRAEX38873_v2_000053650,286,342,615,697,1035,1031
FRAEX38873_v2_000053660,1278,730,1170,882,1130,908
FRAEX38873_v2_000053670,1314,219,426,52,17,4
FRAEX38873_v2_000053680,1444,813,1096,1184,928,1182
FRAEX38873_v2_000053690,660,829,591,464,373,486
FRAEX38873_v2_000053700,0,0,0,0,0,0
FRAEX38873_v2_000053710,0,0,0,0,0,0
FRAEX38873_v2_000053720,31,25,12,30,23,11
FRAEX38873_v2_000053730,1074,1076,1580,1688,1200,1380
FRAEX38873_v2_000053740,2076,2035,1807,2004,2101,2005
FRAEX38873_v2_000053750,1402,1222,1798,1292,1116,1019
FRAEX38873_v2_000053760,220,133,221,179,107,115
FRAEX38873_v2_000053770,4,0,3,8,6,1
FRAEX38873_v2_000053780,857,784,763,772,924,804
FRAEX38873_v2_000053790,826,614,1380,1065,918,1099
FRAEX38873_v2_000053800,42,24,55,63,127,180
FRAEX38873_v2_000053810,20,22,53,245,26,187
FRAEX38873_v2_000053820,141,104,103,237,202,209
FRAEX38873_v2_000053830,5,34,7,148,299,341
FRAEX38873_v2_000053840,2835,2453,2999,3471,3278,3025
FRAEX38873_v2_000053850,0,0,27,673,4306,2164
FRAEX38873_v2_000054640,2006,942,1191,1546,1130,928
FRAEX38873_v2_000054650,1071,1152,1384,970,1176,1225
FRAEX38873_v2_000054660,1,2,3,5,5,4
FRAEX38873_v2_000054670,1501,1764,1396,1507,1409,1286
FRAEX38873_v2_000054680,802,884,1122,1436,1154,1175
FRAEX38873_v2_000054690,235,127,91,223,416,142
FRAEX38873_v2_000054700,3198,2098,2899,1695,1164,1753
FRAEX38873_v2_000054710,70,119,125,1083,472,73
FRAEX38873_v2_000054720,8687,8773,12138,8095,4359,6112
FRAEX38873_v2_000054730,904,1115,1341,1043,864,774
FRAEX38873_v2_000054740,444,486,582,582,512,579
FRAEX38873_v2_000054750,722,606,677,1153,1125,729
FRAEX38873_v2_000054760,76,91,121,373,459,611
FRAEX38873_v2_000054770,328,361,422,449,407,583
FRAEX38873_v2_000054780,100,251,100,22,21,68
FRAEX38873_v2_000054790,342,700,995,2847,678,292
FRAEX38873_v2_000054800,480,325,533,2121,843,441
FRAEX38873_v2_000054810,11,0,48,72,45,16
FRAEX38873_v2_000054820,181,167,203,197,380,237
FRAEX38873_v2_000054830,0,0,0,5,2,0
FRAEX38873_v2_000054840,1,0,0,0,0,0
FRAEX38873_v2_000054850,0,0,21,227,93,15
FRAEX38873_v2_000054860,0,0,0,2,0,0
FRAEX38873_v2_000054870,1211,2293,2590,4484,1944,1164
FRAEX38873_v2_000054880,100,240,303,856,1740,1486
FRAEX38873_v2_000055690,61,40,117,181,227,544
FRAEX38873_v2_000055700,0,13,347,156,46,187
FRAEX38873_v2_000055710,1606,1292,1262,2158,2863,2349
FRAEX38873_v2_000055720,12,67,13,14,32,35
FRAEX38873_v2_000055730,8357,7654,7840,8824,9749,12903
FRAEX38873_v2_000055740,175,356,120,355,460,95
FRAEX38873_v2_000056410,56,40,83,97,130,206
FRAEX38873_v2_000056420,322,410,444,618,670,658
FRAEX38873_v2_000056430,0,0,0,0,0,0
FRAEX38873_v2_000056440,96,51,158,113,104,156
FRAEX38873_v2_000056450,857,94,88,131,161,119
FRAEX38873_v2_000056460,0,4,3,0,6,4
FRAEX38873_v2_000056470,1702,1518,1873,2249,2366,3255
FRAEX38873_v2_000056480,192,98,178,299,419,362
FRAEX38873_v2_000056490,141,104,123,154,175,140
FRAEX38873_v2_000056500,1,0,2,0,0,0
FRAEX38873_v2_000056510,361,596,994,1533,1248,1812
FRAEX38873_v2_000056520,1,0,2,11,1,0
FRAEX38873_v2_000056530,38,9,30,22,23,75
FRAEX38873_v2_000056540,732,594,1341,764,557,910
FRAEX38873_v2_000056550,1552,798,2818,2768,1984,2218
FRAEX38873_v2_000056560,1223,884,1016,888,1017,1121
FRAEX38873_v2_000056570,503,831,919,655,472,810
FRAEX38873_v2_000056580,0,0,0,0,0,2
FRAEX38873_v2_000056590,1423,1090,1003,1391,1446,1567
FRAEX38873_v2_000056600,635,678,880,796,847,771
FRAEX38873_v2_000056610,585,598,741,683,1011,839
FRAEX38873_v2_000056620,63,217,139,40,71,46
FRAEX38873_v2_000056630,1416,1012,937,278,123,402
FRAEX38873_v2_000056640,30,44,121,72,125,104
FRAEX38873_v2_000056650,10,52,852,48,6,95
FRAEX38873_v2_000056660,124,102,179,137,107,97
FRAEX38873_v2_000056670,227,260,340,277,204,181
FRAEX38873_v2_000056680,126,99,256,214,89,155
FRAEX38873_v2_000056690,16,0,7,2,3,4
FRAEX38873_v2_000056700,390,414,529,557,222,339
FRAEX38873_v2_000056710,1048,1055,1911,2128,1951,2443
FRAEX38873_v2_000056720,922,1352,1508,1467,1548,1652
FRAEX38873_v2_000056730,191,237,305,256,158,320
FRAEX38873_v2_000056740,0,0,0,0,0,0
FRAEX38873_v2_000057350,0,0,0,0,0,0
FRAEX38873_v2_000057980,272,401,644,2328,1666,1927
FRAEX38873_v2_000057990,0,0,0,0,0,0
FRAEX38873_v2_000058620,555,568,267,176,124,203
FRAEX38873_v2_000058630,142,125,167,192,91,114
FRAEX38873_v2_000058640,35,24,62,35,83,55
FRAEX38873_v2_000058650,6,0,53,20,0,85
FRAEX38873_v2_000058660,14,19,44,147,223,58
FRAEX38873_v2_000058670,34,46,3,15,12,3
FRAEX38873_v2_000058680,2248,4173,549,1582,2050,722
FRAEX38873_v2_000058690,0,10,64,17,3,40
FRAEX38873_v2_000058700,1055,897,1577,580,522,778
FRAEX38873_v2_000058710,7327,5959,5102,2187,1919,1750
FRAEX38873_v2_000058720,630,545,322,675,1297,1164
FRAEX38873_v2_000059530,360,492,658,519,388,518
FRAEX38873_v2_000059540,662,601,911,1290,1747,3000
FRAEX38873_v2_000059550,2107,1957,2406,2289,2302,2645
FRAEX38873_v2_000059560,2380,1849,1803,2498,3605,2728
FRAEX38873_v2_000059570,9,9,0,0,1,0
FRAEX38873_v2_000059580,138,76,187,125,123,141
FRAEX38873_v2_000059590,1254,1608,1351,1542,1463,1441
FRAEX38873_v2_000059600,0,0,0,2,0,2
FRAEX38873_v2_000059610,354,371,33,89,224,42
FRAEX38873_v2_000059620,729,701,780,749,781,685
FRAEX38873_v2_000059630,207,160,178,294,194,257
FRAEX38873_v2_000059640,3294,2282,190,822,3207,590
FRAEX38873_v2_000060210,0,0,0,0,0,0
FRAEX38873_v2_000060220,244,217,896,84,10,57
FRAEX38873_v2_000060230,1,6,3,23,17,8
FRAEX38873_v2_000060240,4,4,0,42,105,57
FRAEX38873_v2_000060250,137,246,181,111,175,125
FRAEX38873_v2_000060260,14,27,2,11,28,7
FRAEX38873_v2_000060270,707,941,966,1196,1212,1224
FRAEX38873_v2_000060280,662,669,701,1054,1254,1108
FRAEX38873_v2_000060290,326,246,447,352,237,325
FRAEX38873_v2_000060300,123,120,308,207,271,307
FRAEX38873_v2_000060310,1007,1918,3258,1050,59,1322
FRAEX38873_v2_000060320,779,1252,1356,742,919,992
FRAEX38873_v2_000060930,10,19,19,212,380,72
FRAEX38873_v2_000060940,33,15,45,830,225,42
FRAEX38873_v2_000060950,4314,2436,3820,3326,1687,2118
FRAEX38873_v2_000060960,0,0,1,2,0,0
FRAEX38873_v2_000060970,202,229,154,85,144,81
FRAEX38873_v2_000060980,328,107,325,305,165,137
FRAEX38873_v2_000060990,99,74,12,131,122,82
FRAEX38873_v2_000061000,0,0,0,0,0,0
FRAEX38873_v2_000061010,1523,971,1660,1494,1033,1072
FRAEX38873_v2_000061020,0,0,0,0,0,0
FRAEX38873_v2_000061030,17,0,7,64,101,83
FRAEX38873_v2_000061040,0,0,0,0,0,0
FRAEX38873_v2_000061750,6,0,11,32,64,20
FRAEX38873_v2_000061760,79,100,75,326,347,1354
FRAEX38873_v2_000061770,0,0,0,0,0,0
FRAEX38873_v2_000061780,180,232,375,337,471,676
FRAEX38873_v2_000061790,32,47,88,66,72,92
FRAEX38873_v2_000061800,2488,2274,3055,2939,2487,2059
FRAEX38873_v2_000061810,649,743,935,968,910,765
FRAEX38873_v2_000061820,2646,2249,2053,4129,4885,5017
FRAEX38873_v2_000061830,3778,751,368,992,2147,304
FRAEX38873_v2_000061840,1296,1272,1308,1223,1890,1663
FRAEX38873_v2_000061850,65,135,169,116,2,29
FRAEX38873_v2_000061860,313,131,202,213,293,241
FRAEX38873_v2_000061870,1658,317,27,5,2,6
FRAEX38873_v2_000061880,229,384,407,450,147,177
FRAEX38873_v2_000061890,386,47,19,4,22,7
FRAEX38873_v2_000061900,14,8,16,1,0,4
FRAEX38873_v2_000062590,567,518,570,579,580,552
FRAEX38873_v2_000062600,395,464,450,477,416,644
FRAEX38873_v2_000062610,52,73,114,41,62,47
FRAEX38873_v2_000062620,1364,1110,1532,1561,1169,1083
FRAEX38873_v2_000062630,17,14,19,124,28,49
FRAEX38873_v2_000062640,1423,1344,1955,1767,1765,2104
FRAEX38873_v2_000062650,53,41,39,78,58,47
FRAEX38873_v2_000062660,0,0,0,0,0,0
FRAEX38873_v2_000062670,89,49,125,82,101,119
FRAEX38873_v2_000062680,450,338,532,456,626,444
FRAEX38873_v2_000062690,468,296,466,454,547,422
FRAEX38873_v2_000062700,556,493,546,718,558,808
FRAEX38873_v2_000063380,0,0,0,7,9,7
