Geneid;c1;c2;c3;t1;t2;t3
FRAEX38873_v2_000242580;8;33;114;109;123;488
FRAEX38873_v2_000242590;0;2;0;15;55;49
FRAEX38873_v2_000242600;1;9;54;6;10;11
FRAEX38873_v2_000242910;1186;896;1144;1809;2414;2199
FRAEX38873_v2_000242920;1003;1131;1024;1642;1561;1258
FRAEX38873_v2_000242930;1361;1761;1863;2277;3090;2974
FRAEX38873_v2_000242940;717;728;421;1007;471;465
FRAEX38873_v2_000242950;10;75;23;73;12;11
FRAEX38873_v2_000242960;17;2;9;9;1;0
FRAEX38873_v2_000242970;1284;1419;1701;1593;1360;1316
FRAEX38873_v2_000242980;2477;2519;2302;5048;4964;3988
FRAEX38873_v2_000242990;12;11;15;92;154;166
FRAEX38873_v2_000243000;322;317;501;1138;771;437
FRAEX38873_v2_000243010;0;0;0;0;0;0
FRAEX38873_v2_000243020;0;0;0;0;0;2
FRAEX38873_v2_000243030;154;248;193;221;299;354
FRAEX38873_v2_000243040;1737;1900;1763;1426;1748;1797
FRAEX38873_v2_000243050;111;162;110;588;278;525
FRAEX38873_v2_000243060;0;0;0;4;0;0
FRAEX38873_v2_000243070;420;388;483;477;653;589
FRAEX38873_v2_000243080;11;10;5;0;1;0
FRAEX38873_v2_000243480;877;903;931;1199;917;895
FRAEX38873_v2_000243490;203;196;109;137;204;186
FRAEX38873_v2_000243500;284;325;237;236;313;356
FRAEX38873_v2_000243510;1255;834;1111;1019;740;805
FRAEX38873_v2_000243520;534;364;419;227;276;293
FRAEX38873_v2_000243840;101;431;232;474;398;952
FRAEX38873_v2_000243850;2487;3197;2487;6087;4377;3302
FRAEX38873_v2_000243860;2380;2392;2155;1966;1588;1809
FRAEX38873_v2_000243870;364;611;391;603;510;749
FRAEX38873_v2_000243880;133;296;89;604;407;423
FRAEX38873_v2_000243890;416;318;328;103;161;148
FRAEX38873_v2_000243900;0;8;19;70;143;8
FRAEX38873_v2_000243910;2;7;11;4;4;2
FRAEX38873_v2_000243920;393;611;338;366;528;555
FRAEX38873_v2_000243930;1;5;3;5;0;3
FRAEX38873_v2_000243940;2292;1851;4161;1823;1359;1151
FRAEX38873_v2_000243950;1421;1594;2954;3220;2557;3359
FRAEX38873_v2_000243960;707;741;632;497;663;600
FRAEX38873_v2_000244180;21187;15142;18100;13519;20153;23472
FRAEX38873_v2_000244190;0;0;0;0;0;0
FRAEX38873_v2_000244200;0;0;0;0;0;0
FRAEX38873_v2_000244210;0;603;34;84;108;2
FRAEX38873_v2_000244220;21;10;21;5;4;7
FRAEX38873_v2_000244230;3;4;25;26;42;41
FRAEX38873_v2_000244510;0;14;2;79;13;0
FRAEX38873_v2_000244520;749;742;568;956;1325;949
FRAEX38873_v2_000244830;615;574;675;1179;1017;719
FRAEX38873_v2_000244840;1203;1063;851;835;906;685
FRAEX38873_v2_000244850;8;111;22;210;134;589
FRAEX38873_v2_000244860;7124;5468;5763;3732;5462;5413
FRAEX38873_v2_000244870;10869;8914;9018;7830;10128;9735
FRAEX38873_v2_000244880;573;611;452;313;145;397
FRAEX38873_v2_000244890;610;564;513;267;152;453
FRAEX38873_v2_000244900;0;1;86;7;0;1
FRAEX38873_v2_000244910;350;208;197;297;598;71
FRAEX38873_v2_000244920;4;58;19;21;5;23
FRAEX38873_v2_000245200;336;289;246;244;173;162
FRAEX38873_v2_000245210;508;459;469;547;471;650
FRAEX38873_v2_000245220;913;1102;4042;416;216;247
FRAEX38873_v2_000245230;1837;2169;1610;1885;1686;1588
FRAEX38873_v2_000245240;1248;1003;997;663;783;725
FRAEX38873_v2_000245250;689;297;467;442;140;219
FRAEX38873_v2_000245260;71;398;512;531;120;265
FRAEX38873_v2_000245270;354;410;434;551;338;412
FRAEX38873_v2_000245280;323;250;367;947;337;407
FRAEX38873_v2_000245290;47;659;240;926;675;956
FRAEX38873_v2_000245300;126;46;7;17;42;49
FRAEX38873_v2_000245580;10;206;303;2359;258;4329
FRAEX38873_v2_000245590;66;56;61;54;85;54
FRAEX38873_v2_000245600;0;0;51;3363;1209;5920
FRAEX38873_v2_000245920;3563;2409;3117;1633;1472;1648
FRAEX38873_v2_000245930;22;5;13;24;21;18
FRAEX38873_v2_000245940;6277;6000;5405;5615;6280;7081
FRAEX38873_v2_000245950;88;272;272;651;262;1000
FRAEX38873_v2_000245960;7;75;168;182;17;51
FRAEX38873_v2_000245970;17520;22342;25114;18052;20246;14884
FRAEX38873_v2_000245980;0;0;0;0;0;0
FRAEX38873_v2_000245990;220;763;1058;1083;1248;385
FRAEX38873_v2_000246000;45;113;47;267;201;47
FRAEX38873_v2_000246010;1953;1799;1734;1004;1078;963
FRAEX38873_v2_000246020;50;43;12;235;365;5
FRAEX38873_v2_000246030;0;0;11;5;2;8
FRAEX38873_v2_000246040;32;39;34;9;11;10
FRAEX38873_v2_000246050;54;46;73;33;30;29
FRAEX38873_v2_000246060;53;34;36;60;44;42
FRAEX38873_v2_000246070;2109;1400;2163;2333;1726;1415
FRAEX38873_v2_000246080;0;0;0;0;0;0
FRAEX38873_v2_000246330;1000;714;1475;1957;1778;2471
FRAEX38873_v2_000246340;30;12;49;29;15;14
FRAEX38873_v2_000246350;0;0;0;2;1;1
FRAEX38873_v2_000246360;406;553;588;1280;389;1027
FRAEX38873_v2_000246380;569;555;712;488;405;425
FRAEX38873_v2_000246390;116;89;91;116;90;110
FRAEX38873_v2_000246400;255;279;504;181;141;123
FRAEX38873_v2_000246410;95;139;266;93;57;54
FRAEX38873_v2_000246420;540;490;736;604;383;920
FRAEX38873_v2_000246430;0;0;0;0;0;0
FRAEX38873_v2_000246440;1368;1459;1239;1887;1684;1869
FRAEX38873_v2_000246450;126;461;258;373;376;622
FRAEX38873_v2_000246460;0;3;8;8;2;1
FRAEX38873_v2_000246470;2643;2442;2319;1419;1195;1427
FRAEX38873_v2_000246720;341;246;314;315;358;351
FRAEX38873_v2_000246730;3;6;14;34;4;5
FRAEX38873_v2_000246740;0;0;0;0;0;0
FRAEX38873_v2_000246750;18;21;32;608;377;59
FRAEX38873_v2_000246760;0;1;7;3;0;1
FRAEX38873_v2_000246770;8;44;17;41;17;18
FRAEX38873_v2_000246780;1421;953;645;564;702;569
FRAEX38873_v2_000246790;71;0;35;13;1;0
FRAEX38873_v2_000246800;38;2;20;4;1;0
FRAEX38873_v2_000246810;0;0;0;0;0;0
FRAEX38873_v2_000246820;0;0;0;0;0;0
FRAEX38873_v2_000246830;0;2;0;32;26;14
FRAEX38873_v2_000246840;458;854;850;266;367;360
FRAEX38873_v2_000246850;2784;1750;2855;1008;1032;1343
FRAEX38873_v2_000246860;1314;1339;1172;891;703;777
FRAEX38873_v2_000246870;25;5;12;68;55;34
FRAEX38873_v2_000246880;164;153;44;1581;1680;1440
FRAEX38873_v2_000246890;3918;3733;3734;1910;2073;1709
FRAEX38873_v2_000246900;0;0;0;0;0;0
FRAEX38873_v2_000246910;0;0;0;0;0;0
FRAEX38873_v2_000246920;0;0;0;0;0;0
FRAEX38873_v2_000247370;19;70;33;31;32;37
FRAEX38873_v2_000247380;0;0;6;357;591;2
FRAEX38873_v2_000247390;141;201;676;1141;1101;1734
FRAEX38873_v2_000247400;59;83;439;414;620;982
FRAEX38873_v2_000247410;6159;7728;5137;3958;5316;3949
FRAEX38873_v2_000247420;1613;1483;1089;983;1371;1595
FRAEX38873_v2_000247430;4466;3780;4613;8328;6687;7752
FRAEX38873_v2_000247450;1386;881;1122;822;996;874
FRAEX38873_v2_000247460;1073;1194;1069;1020;1539;1046
FRAEX38873_v2_000247470;2235;2042;1926;2186;3126;2885
FRAEX38873_v2_000247480;106;462;180;262;111;132
FRAEX38873_v2_000247490;124;232;222;104;153;205
FRAEX38873_v2_000247500;975;1232;1265;460;274;442
FRAEX38873_v2_000247850;78;142;130;110;99;85
FRAEX38873_v2_000247860;575;721;628;892;794;833
FRAEX38873_v2_000247870;44;64;49;60;93;250
FRAEX38873_v2_000247880;4664;6487;6493;4074;3877;3818
FRAEX38873_v2_000247890;1;0;0;2;1;0
FRAEX38873_v2_000248000;311;242;282;228;158;268
FRAEX38873_v2_000248010;4;21;64;476;140;213
FRAEX38873_v2_000248020;762;557;570;512;529;603
FRAEX38873_v2_000248030;38;24;10;19;12;26
FRAEX38873_v2_000248040;332;179;145;209;316;47
FRAEX38873_v2_000248050;138;148;174;201;252;173
FRAEX38873_v2_000248060;77;93;86;22;49;42
FRAEX38873_v2_000248070;0;0;0;0;0;0
FRAEX38873_v2_000248080;0;0;0;0;0;0
FRAEX38873_v2_000248090;0;1;29;18;43;6
FRAEX38873_v2_000248100;117;68;101;149;91;90
FRAEX38873_v2_000248110;0;0;0;3;4;4
FRAEX38873_v2_000248120;2606;3339;9199;11312;6893;3585
FRAEX38873_v2_000248480;0;1;0;0;2;7
FRAEX38873_v2_000248490;1660;1778;1537;957;1187;1009
FRAEX38873_v2_000248500;74;56;17;78;67;119
FRAEX38873_v2_000248510;15;18;0;0;0;7
FRAEX38873_v2_000248520;598;708;1537;388;99;187
FRAEX38873_v2_000248530;678;964;1144;1660;2009;1743
FRAEX38873_v2_000248540;1671;1400;1841;1301;1578;1255
FRAEX38873_v2_000248550;116;228;198;416;789;1009
FRAEX38873_v2_000248560;124;192;152;153;113;143
FRAEX38873_v2_000248570;217;142;65;254;639;138
FRAEX38873_v2_000248580;532;258;211;2155;5891;1762
FRAEX38873_v2_000248590;0;0;0;0;3;0
FRAEX38873_v2_000248600;3364;3643;4002;7467;3434;6051
FRAEX38873_v2_000248610;6706;6651;6941;3399;3227;3170
FRAEX38873_v2_000248620;370;350;335;236;360;366
FRAEX38873_v2_000248630;440;141;326;222;358;230
FRAEX38873_v2_000248760;380;367;284;576;709;628
FRAEX38873_v2_000248770;0;0;0;0;0;0
FRAEX38873_v2_000248780;155;257;196;240;265;161
FRAEX38873_v2_000248790;734;732;661;566;457;544
FRAEX38873_v2_000248800;3011;3138;3512;1993;2386;1854
FRAEX38873_v2_000248810;0;0;57;163;217;6
FRAEX38873_v2_000248820;0;0;0;0;0;0
FRAEX38873_v2_000248830;2568;3313;2587;1699;1637;1769
FRAEX38873_v2_000248840;23;6;0;87;122;163
FRAEX38873_v2_000248850;0;8;0;0;0;0
FRAEX38873_v2_000248860;1734;973;2125;979;689;744
FRAEX38873_v2_000248870;1910;1914;2399;1631;1210;1136
FRAEX38873_v2_000248880;0;0;11;1;3;0
FRAEX38873_v2_000249090;0;0;0;0;2;0
FRAEX38873_v2_000249100;793;1094;1169;617;856;883
FRAEX38873_v2_000249110;486;406;550;503;432;550
FRAEX38873_v2_000249120;0;0;0;0;0;0
FRAEX38873_v2_000249130;43;26;15;184;125;121
FRAEX38873_v2_000249140;447;517;515;534;771;750
FRAEX38873_v2_000249150;83;75;143;234;178;142
FRAEX38873_v2_000249160;0;1;0;8;0;3
FRAEX38873_v2_000249170;700;529;693;360;429;453
FRAEX38873_v2_000249400;281;313;176;189;179;385
FRAEX38873_v2_000249420;112;82;113;89;93;102
FRAEX38873_v2_000249430;389;377;322;291;361;291
FRAEX38873_v2_000249440;680;384;456;426;343;604
FRAEX38873_v2_000249450;207;228;116;722;852;1383
FRAEX38873_v2_000249460;165;98;176;216;134;156
FRAEX38873_v2_000249470;545;479;543;708;993;843
FRAEX38873_v2_000249480;12;29;13;18;7;29
FRAEX38873_v2_000249500;0;0;0;0;0;0
FRAEX38873_v2_000250010;360;390;461;639;1157;734
FRAEX38873_v2_000250020;929;879;707;744;634;766
FRAEX38873_v2_000250030;8;33;103;87;32;134
FRAEX38873_v2_000250040;449;396;254;285;241;337
FRAEX38873_v2_000250050;320;8;76;0;0;0
FRAEX38873_v2_000250540;19;84;56;249;15;213
FRAEX38873_v2_000250550;776;744;484;576;531;647
FRAEX38873_v2_000250560;5;13;6;2;2;7
FRAEX38873_v2_000250570;1309;967;1255;785;929;700
FRAEX38873_v2_000250580;2478;2323;2281;2124;1931;2061
FRAEX38873_v2_000250590;0;0;0;0;0;2
FRAEX38873_v2_000250600;708;656;672;552;561;698
FRAEX38873_v2_000250610;0;0;0;0;0;0
FRAEX38873_v2_000250620;13;20;60;65;119;86
FRAEX38873_v2_000250630;564;587;749;1435;1992;1532
FRAEX38873_v2_000250980;107;82;52;96;63;99
FRAEX38873_v2_000250990;562;510;356;604;730;795
FRAEX38873_v2_000251000;0;0;0;0;0;0
FRAEX38873_v2_000251010;629;1159;1485;7419;11031;4072
FRAEX38873_v2_000251480;59;251;1201;643;33;209
FRAEX38873_v2_000251490;339;452;399;214;87;28
FRAEX38873_v2_000251500;0;0;0;0;0;0
FRAEX38873_v2_000251510;15;8;49;0;7;0
FRAEX38873_v2_000251520;6;1;6;0;0;0
FRAEX38873_v2_000251730;1401;770;1983;2314;6287;2935
FRAEX38873_v2_000251740;348;177;528;131;108;60
FRAEX38873_v2_000251750;3080;1577;1713;1045;787;1892
FRAEX38873_v2_000251760;6;4;0;6;3;5
FRAEX38873_v2_000251770;0;1;1;2;17;7
FRAEX38873_v2_000251780;3714;3425;3985;1942;1872;2016
FRAEX38873_v2_000251790;852;841;366;706;451;1093
FRAEX38873_v2_000251800;1589;1674;1890;1729;1422;1663
FRAEX38873_v2_000251810;1;0;3;1;0;0
FRAEX38873_v2_000252140;1;69;61;372;416;833
FRAEX38873_v2_000252150;3;21;4;13;8;65
FRAEX38873_v2_000252160;2201;1876;2334;1971;1508;1818
FRAEX38873_v2_000252170;17;21;14;15;18;4
FRAEX38873_v2_000252180;43;42;9;13;2;5
FRAEX38873_v2_000252440;703;827;1129;3750;1113;2017
FRAEX38873_v2_000252450;98;192;65;144;83;251
FRAEX38873_v2_000252460;141;160;94;151;116;141
FRAEX38873_v2_000252470;471;563;484;894;959;614
FRAEX38873_v2_000252480;1683;1861;1917;1812;2307;1744
FRAEX38873_v2_000252490;1065;908;871;672;731;690
FRAEX38873_v2_000252500;1665;2231;2254;1393;2309;1992
FRAEX38873_v2_000252700;175;118;78;149;147;267
FRAEX38873_v2_000252710;46;72;44;92;38;129
FRAEX38873_v2_000252720;0;1;0;3;2;0
FRAEX38873_v2_000252730;130;300;319;322;229;831
FRAEX38873_v2_000252740;1523;1497;1575;889;782;1012
FRAEX38873_v2_000252750;18;50;100;221;376;512
FRAEX38873_v2_000252760;435;561;576;196;198;288
FRAEX38873_v2_000252770;0;0;0;0;0;0
FRAEX38873_v2_000252780;1135;1117;1022;1588;1895;1440
FRAEX38873_v2_000253090;3029;2433;3474;2838;2448;2590
FRAEX38873_v2_000253100;565;535;546;554;579;516
FRAEX38873_v2_000253110;171;247;125;93;153;33
FRAEX38873_v2_000253120;29;162;199;78;64;33
FRAEX38873_v2_000253130;161;320;291;234;155;203
FRAEX38873_v2_000253140;672;683;547;1221;1013;898
FRAEX38873_v2_000253150;478;288;311;158;16;74
FRAEX38873_v2_000253160;461;178;259;140;119;267
FRAEX38873_v2_000253170;0;0;0;20;1;15
FRAEX38873_v2_000253180;6;2;11;104;110;11
FRAEX38873_v2_000253190;2972;2469;2767;2356;2748;2383
FRAEX38873_v2_000253200;3417;2413;3292;1833;1587;2210
FRAEX38873_v2_000253210;0;0;0;0;0;0
FRAEX38873_v2_000253220;1827;1716;1927;1304;1443;1386
FRAEX38873_v2_000253230;0;0;0;7740;943;20651
FRAEX38873_v2_000253240;907;679;751;595;545;530
FRAEX38873_v2_000253250;250;162;278;265;219;281
FRAEX38873_v2_000253520;0;0;0;0;0;0
FRAEX38873_v2_000253530;278;265;325;687;812;551
FRAEX38873_v2_000253540;1454;1279;1342;1605;2530;1755
FRAEX38873_v2_000253550;13;6;1;1;10;0
FRAEX38873_v2_000253560;25;11;10;1;19;16
FRAEX38873_v2_000253570;37;16;10;27;92;38
FRAEX38873_v2_000253580;863;848;785;763;1077;921
FRAEX38873_v2_000253590;3199;2745;2710;2220;2312;2041
FRAEX38873_v2_000253600;777;887;765;939;835;916
FRAEX38873_v2_000253610;307;169;128;361;498;594
FRAEX38873_v2_000253620;180;185;113;188;104;314
FRAEX38873_v2_000253630;0;9;0;468;931;2060
FRAEX38873_v2_000253640;107;108;98;208;190;125
FRAEX38873_v2_000253650;517;373;460;624;572;882
FRAEX38873_v2_000253660;338;330;244;248;526;378
FRAEX38873_v2_000253670;10;13;57;18;11;302
FRAEX38873_v2_000253680;94;101;35;81;69;94
FRAEX38873_v2_000253690;1113;1045;1466;1179;565;1255
FRAEX38873_v2_000253890;634;812;585;591;738;807
FRAEX38873_v2_000253900;0;1;0;8;1;9
FRAEX38873_v2_000253910;14;2;0;0;0;2
FRAEX38873_v2_000253920;262;191;197;189;165;155
FRAEX38873_v2_000254200;681;790;688;795;620;626
FRAEX38873_v2_000254210;1167;1775;1749;1235;1223;1117
FRAEX38873_v2_000254220;244;152;79;30;1;8
FRAEX38873_v2_000254230;0;0;0;0;1;0
FRAEX38873_v2_000254240;936;1104;855;2033;2277;1618
FRAEX38873_v2_000254250;1506;1779;1495;1689;1530;1279
FRAEX38873_v2_000254260;28;16;21;47;21;58
FRAEX38873_v2_000254270;1723;1922;2652;955;1003;1080
FRAEX38873_v2_000254280;18460;14062;17311;6995;7077;7008
FRAEX38873_v2_000254290;1094;1761;1449;3012;2788;2853
FRAEX38873_v2_000254300;1210;846;1140;885;876;988
FRAEX38873_v2_000254310;351;368;170;127;29;215
FRAEX38873_v2_000254320;71;60;75;288;94;198
FRAEX38873_v2_000254570;2;0;0;3;0;1
FRAEX38873_v2_000254580;929;914;704;887;964;885
FRAEX38873_v2_000254590;711;528;543;529;571;619
FRAEX38873_v2_000254600;16;31;22;11;12;7
FRAEX38873_v2_000254610;313;411;194;402;208;182
FRAEX38873_v2_000254620;298;333;277;311;263;742
FRAEX38873_v2_000254630;0;0;0;10;5;38
FRAEX38873_v2_000254640;18302;14891;24462;21686;18052;20050
FRAEX38873_v2_000254650;429;383;372;308;193;264
FRAEX38873_v2_000254660;5;9;1;6;7;13
FRAEX38873_v2_000254670;1998;1586;2127;1543;1518;1492
FRAEX38873_v2_000255120;0;0;0;0;0;0
FRAEX38873_v2_000255130;0;0;4;0;9;41
FRAEX38873_v2_000255140;4;8;3;11;6;23
FRAEX38873_v2_000255150;2937;2967;2004;3284;4448;3941
FRAEX38873_v2_000255160;0;1;0;0;0;0
FRAEX38873_v2_000255170;33;31;0;482;96;488
FRAEX38873_v2_000255180;2860;3300;2573;2363;3040;2545
FRAEX38873_v2_000255190;19;97;182;76;66;226
FRAEX38873_v2_000255200;0;0;0;2;0;0
FRAEX38873_v2_000255210;0;39;204;2571;7748;920
FRAEX38873_v2_000255220;257;245;250;400;281;355
FRAEX38873_v2_000255230;0;5;0;0;0;0
FRAEX38873_v2_000255240;3177;2784;5015;2932;1837;2094
FRAEX38873_v2_000255250;38;47;85;28;15;101
FRAEX38873_v2_000255260;772;842;836;1223;1067;828
FRAEX38873_v2_000255270;0;0;0;2;0;0
FRAEX38873_v2_000255280;3;3;0;0;0;3
FRAEX38873_v2_000255290;159;98;134;324;333;229
FRAEX38873_v2_000255300;555;808;829;1512;1093;913
FRAEX38873_v2_000255310;0;0;0;0;0;0
FRAEX38873_v2_000255520;58;224;96;179;115;482
FRAEX38873_v2_000255530;0;1;0;0;0;1
FRAEX38873_v2_000255540;0;0;0;0;0;0
FRAEX38873_v2_000255550;0;7;112;20;30;21
FRAEX38873_v2_000255560;91;10;8;45;33;58
FRAEX38873_v2_000255570;0;0;37;301;1426;96
FRAEX38873_v2_000255580;0;0;0;0;0;0
FRAEX38873_v2_000255590;8;10;17;36;13;22
FRAEX38873_v2_000255910;1668;1212;1019;1337;1079;1356
FRAEX38873_v2_000255920;1853;1618;1145;2198;1476;1713
FRAEX38873_v2_000255930;500;670;618;916;963;732
FRAEX38873_v2_000255940;538;381;529;458;491;487
FRAEX38873_v2_000255950;78;175;98;88;48;127
FRAEX38873_v2_000255960;1306;707;943;834;1078;539
FRAEX38873_v2_000255970;430;327;454;642;744;692
FRAEX38873_v2_000255980;649;539;507;444;538;411
FRAEX38873_v2_000255990;1472;1570;1455;1655;1412;1417
FRAEX38873_v2_000256270;0;0;0;0;0;0
FRAEX38873_v2_000256280;387;307;370;332;395;280
FRAEX38873_v2_000256300;0;1;0;3;0;0
FRAEX38873_v2_000256310;33;0;1;0;2;15
FRAEX38873_v2_000256320;4142;1031;4306;1464;340;470
FRAEX38873_v2_000256330;356;298;255;252;215;253
FRAEX38873_v2_000256340;164;127;103;102;55;64
FRAEX38873_v2_000256350;10440;10112;9839;11577;12810;12442
FRAEX38873_v2_000256360;1013;1648;1481;1054;1215;1217
FRAEX38873_v2_000256370;798;652;813;712;997;1244
FRAEX38873_v2_000256380;833;605;741;1006;821;686
FRAEX38873_v2_000256390;267;295;243;301;330;327
FRAEX38873_v2_000256400;93;104;81;27;22;56
FRAEX38873_v2_000256410;0;8;1;543;77;282
FRAEX38873_v2_000256420;19516;16673;17547;11951;16013;13524
FRAEX38873_v2_000256430;13;12;10;0;2;0
FRAEX38873_v2_000256440;80;94;104;139;237;163
FRAEX38873_v2_000256450;1454;1787;1615;1303;1233;1610
FRAEX38873_v2_000256460;0;0;0;0;0;0
FRAEX38873_v2_000256470;148;111;115;123;162;99
FRAEX38873_v2_000256480;103;211;229;537;506;1114
FRAEX38873_v2_000256490;1801;2179;2055;2560;3505;1604
FRAEX38873_v2_000256500;1;38;60;214;307;200
FRAEX38873_v2_000256510;36;52;22;20;20;38
FRAEX38873_v2_000256520;564;298;199;393;65;1320
FRAEX38873_v2_000256770;204;266;187;189;176;119
FRAEX38873_v2_000256780;0;0;0;0;0;0
FRAEX38873_v2_000256790;75;72;88;72;139;74
FRAEX38873_v2_000256800;0;0;0;0;0;0
FRAEX38873_v2_000256810;0;0;0;0;0;0
FRAEX38873_v2_000257050;99;63;66;318;438;249
FRAEX38873_v2_000257060;63;71;99;78;80;99
FRAEX38873_v2_000257070;0;3;44;139;168;7
FRAEX38873_v2_000257080;655;568;650;487;532;402
FRAEX38873_v2_000257090;8;55;181;36;74;36
FRAEX38873_v2_000257100;804;762;685;1153;725;1423
FRAEX38873_v2_000257110;253;429;294;459;339;501
FRAEX38873_v2_000257120;46;38;32;52;53;26
FRAEX38873_v2_000257130;1125;1060;863;971;1268;1032
FRAEX38873_v2_000257140;13;22;77;54;16;31
FRAEX38873_v2_000257150;150;222;342;334;189;367
FRAEX38873_v2_000257160;15;61;25;48;40;75
FRAEX38873_v2_000257170;7;13;1;82;11;297
FRAEX38873_v2_000257180;436;704;729;878;822;859
FRAEX38873_v2_000257190;4;33;21;39;53;5
FRAEX38873_v2_000257200;799;520;676;1812;2405;1488
FRAEX38873_v2_000257400;1458;1449;1333;1355;1790;1455
FRAEX38873_v2_000257420;713;747;568;457;449;345
FRAEX38873_v2_000257730;389;174;191;413;456;369
FRAEX38873_v2_000257740;3163;1872;3175;2297;1624;3637
FRAEX38873_v2_000257750;124;182;119;447;296;305
FRAEX38873_v2_000257760;921;1215;1464;679;575;582
FRAEX38873_v2_000257770;0;1;0;0;0;0
FRAEX38873_v2_000257780;1;0;3;3;0;1
FRAEX38873_v2_000257790;54;57;75;10;13;12
FRAEX38873_v2_000257800;769;738;808;674;781;601
FRAEX38873_v2_000257810;82;51;95;85;47;78
FRAEX38873_v2_000257820;0;13;43;374;434;14
FRAEX38873_v2_000257830;0;2;0;8;7;0
FRAEX38873_v2_000257840;68;56;45;47;50;44
FRAEX38873_v2_000257850;4590;3703;3471;2669;2985;2457
FRAEX38873_v2_000257860;12;3;6;4;3;10
FRAEX38873_v2_000258220;389;492;247;345;42;373
FRAEX38873_v2_000258230;64;43;43;20;16;27
FRAEX38873_v2_000258240;79;93;94;33;35;20
FRAEX38873_v2_000258250;0;4;15;8;2;8
FRAEX38873_v2_000258260;14;28;10;1;12;51
FRAEX38873_v2_000258270;294;311;231;239;295;287
FRAEX38873_v2_000258280;6;14;105;76;37;33
FRAEX38873_v2_000258290;139;63;79;54;26;42
FRAEX38873_v2_000258300;0;0;0;0;0;0
FRAEX38873_v2_000258310;8115;1945;7208;6456;1981;2196
FRAEX38873_v2_000258320;36;113;106;206;91;107
FRAEX38873_v2_000258330;41;16;7;83;5;8
FRAEX38873_v2_000258340;82;70;47;65;28;95
FRAEX38873_v2_000258350;84;63;46;23;48;38
FRAEX38873_v2_000258360;0;0;0;0;0;1
FRAEX38873_v2_000258370;282;353;160;149;95;301
FRAEX38873_v2_000258380;0;23;60;63;5;9
FRAEX38873_v2_000258390;0;0;0;9;3;0
FRAEX38873_v2_000258400;85;54;44;32;18;41
FRAEX38873_v2_000258410;0;0;0;0;0;0
FRAEX38873_v2_000258420;215;354;245;186;162;269
FRAEX38873_v2_000258810;0;0;0;20;126;0
FRAEX38873_v2_000258820;2;16;38;82;84;112
FRAEX38873_v2_000258830;1084;909;1211;1348;1457;1339
FRAEX38873_v2_000258840;0;0;0;28;79;19
FRAEX38873_v2_000259330;0;0;0;0;0;0
FRAEX38873_v2_000259340;63;51;49;165;141;237
FRAEX38873_v2_000259350;0;0;0;0;0;0
FRAEX38873_v2_000259360;306;300;376;632;618;566
FRAEX38873_v2_000259370;0;0;0;0;0;0
FRAEX38873_v2_000259380;223;140;118;191;155;192
FRAEX38873_v2_000259390;944;823;712;1210;985;1088
FRAEX38873_v2_000259400;232;149;251;196;125;210
FRAEX38873_v2_000259410;171;271;37;0;0;0
FRAEX38873_v2_000259420;0;10;24;0;0;0
FRAEX38873_v2_000259440;21;95;39;2041;598;4622
FRAEX38873_v2_000259450;16;59;33;95;157;171
FRAEX38873_v2_000259460;2997;2794;2437;1457;1421;1849
FRAEX38873_v2_000259470;2;5;17;49;172;9
FRAEX38873_v2_000259480;7;10;0;2;6;2
FRAEX38873_v2_000259490;0;0;0;0;0;0
FRAEX38873_v2_000259500;0;0;0;0;0;0
FRAEX38873_v2_000259640;1250;1384;2090;2782;1397;1062
FRAEX38873_v2_000259650;221;192;189;118;126;180
FRAEX38873_v2_000259660;37;44;265;31;49;15
FRAEX38873_v2_000259670;803;948;770;712;760;848
FRAEX38873_v2_000259680;0;16;5;0;15;4
FRAEX38873_v2_000259690;347;426;383;287;271;312
FRAEX38873_v2_000259700;35;59;29;123;115;159
FRAEX38873_v2_000259710;1409;1924;2252;2171;1911;1872
FRAEX38873_v2_000259720;419;381;365;373;515;426
FRAEX38873_v2_000259730;134;74;98;122;97;140
FRAEX38873_v2_000259740;0;0;0;0;0;0
FRAEX38873_v2_000259750;0;0;0;0;0;0
FRAEX38873_v2_000259760;443;308;357;375;328;369
FRAEX38873_v2_000259770;90;44;68;97;126;143
FRAEX38873_v2_000259780;0;41;0;5;4;2
FRAEX38873_v2_000259790;340;139;117;278;209;155
FRAEX38873_v2_000259800;1259;1460;1378;886;957;1132
FRAEX38873_v2_000259810;8;7;0;44;57;26
FRAEX38873_v2_000259820;40;19;37;0;0;26
FRAEX38873_v2_000259830;621;480;587;344;287;335
FRAEX38873_v2_000259840;2180;2342;1943;4142;7306;4552
FRAEX38873_v2_000260100;0;0;0;0;0;0
FRAEX38873_v2_000260110;0;0;0;0;0;0
FRAEX38873_v2_000260120;0;0;0;0;0;0
FRAEX38873_v2_000260490;540;1489;2639;7435;14893;9775
FRAEX38873_v2_000260500;307;205;179;443;310;520
FRAEX38873_v2_000260510;0;2;9;17;12;69
FRAEX38873_v2_000260520;0;0;0;0;4;0
FRAEX38873_v2_000260530;754;163;211;81;121;111
FRAEX38873_v2_000260730;0;20;45;73;12;33
FRAEX38873_v2_000260740;0;0;0;0;0;0
FRAEX38873_v2_000260750;1175;1050;881;764;860;869
FRAEX38873_v2_000260760;0;13;0;0;0;0
FRAEX38873_v2_000260770;4;4;0;3;5;6
FRAEX38873_v2_000260780;37;82;22;69;42;83
