Geneid;sorted.step1.CH4_B9_C_hisat2.bam;sorted.step1.CH32_B9_C_hisat2.bam;sorted.step1.CH88_B9_C_hisat2.bam;sorted.step1.CH1_B9_EAB_hisat2.bam;sorted.step1.CH29_B9_EAB_hisat2.bam;sorted.step1.CH85_B9_EAB_hisat2.bam
FRAEX38873_v2_000000010;407;425;462;525;507;376
FRAEX38873_v2_000000020;403;497;590;631;460;527
FRAEX38873_v2_000000030;522;510;357;1350;1143;632
FRAEX38873_v2_000000040;20;180;198;43;13;23
FRAEX38873_v2_000000050;444;518;413;983;908;1063
FRAEX38873_v2_000000060;257;309;192;510;423;401
FRAEX38873_v2_000000070;639;536;460;478;561;509
FRAEX38873_v2_000000080;1533;1867;1452;1275;1376;1403
FRAEX38873_v2_000000090;190;214;150;210;257;202
FRAEX38873_v2_000000100;540;551;562;215;358;289
FRAEX38873_v2_000000110;1563;1915;1586;806;927;796
FRAEX38873_v2_000000120;142;191;155;521;309;529
FRAEX38873_v2_000000130;0;0;0;0;0;0
FRAEX38873_v2_000000140;37;15;25;5;19;15
FRAEX38873_v2_000000150;39;35;47;16;26;31
FRAEX38873_v2_000000160;27;8;26;26;36;22
FRAEX38873_v2_000000170;0;0;0;0;0;0
FRAEX38873_v2_000000180;0;0;6;0;3;6
FRAEX38873_v2_000000190;0;0;0;0;0;0
FRAEX38873_v2_000000200;0;0;0;0;0;1
FRAEX38873_v2_000000210;0;0;0;0;0;4
FRAEX38873_v2_000000220;0;0;1;0;0;0
FRAEX38873_v2_000000230;0;0;0;0;0;0
FRAEX38873_v2_000000240;1238;1019;870;1102;919;1108
FRAEX38873_v2_000000250;742;687;527;804;535;736
FRAEX38873_v2_000000260;0;0;0;0;0;0
FRAEX38873_v2_000000270;0;0;0;0;0;0
FRAEX38873_v2_000000280;2600;2741;2656;3882;3915;3776
FRAEX38873_v2_000000290;9;0;11;116;2;110
FRAEX38873_v2_000000300;174;266;274;678;162;362
FRAEX38873_v2_000000310;2455;2508;2376;2399;2604;2622
FRAEX38873_v2_000000320;4716;6686;5128;1930;3311;1938
FRAEX38873_v2_000000330;0;2;4;529;79;176
FRAEX38873_v2_000000340;290;1080;615;1000;641;2711
FRAEX38873_v2_000000350;0;1;4;12;2;16
FRAEX38873_v2_000000360;0;0;0;0;0;0
FRAEX38873_v2_000000370;1951;3659;3867;79;231;234
FRAEX38873_v2_000000380;0;0;0;0;0;0
FRAEX38873_v2_000000390;31;38;59;69;80;78
FRAEX38873_v2_000000400;0;0;0;0;0;0
FRAEX38873_v2_000000410;1230;1070;716;996;1018;839
FRAEX38873_v2_000000420;539;405;352;1692;933;1926
FRAEX38873_v2_000000430;165;179;176;202;218;361
FRAEX38873_v2_000000440;331;231;192;10;46;79
FRAEX38873_v2_000000450;0;0;0;1;0;0
