Geneid;sorted.step1.CH4_B9_C_hisat2.bam;sorted.step1.CH32_B9_C_hisat2.bam;sorted.step1.CH88_B9_C_hisat2.bam;sorted.step1.CH1_B9_EAB_hisat2.bam;sorted.step1.CH29_B9_EAB_hisat2.bam;sorted.step1.CH85_B9_EAB_hisat2.bam
FRAEX38873_v2_000000460;51;27;72;191;391;97
FRAEX38873_v2_000000470;40;74;65;572;645;308
FRAEX38873_v2_000000480;286;295;263;54;320;166
FRAEX38873_v2_000400370;125;300;51;81;99;71
FRAEX38873_v2_000400380;10;23;17;14;37;59
FRAEX38873_v2_000400390;7;27;11;34;22;27
FRAEX38873_v2_000400400;19;15;7;7;28;12
FRAEX38873_v2_000400410;60;21;35;29;48;39
FRAEX38873_v2_000400420;2;4;9;6;12;5
FRAEX38873_v2_000400430;71;103;61;89;108;64
FRAEX38873_v2_000400440;48;60;30;47;41;49
FRAEX38873_v2_000400450;3;2;0;0;0;2
FRAEX38873_v2_000400460;22;46;4;13;19;21
FRAEX38873_v2_000400470;6;25;4;5;18;12
FRAEX38873_v2_000400480;15;1;10;10;11;13
FRAEX38873_v2_000400490;13;12;1;3;10;12
FRAEX38873_v2_000400500;4;0;0;0;0;0
FRAEX38873_v2_000400510;23;27;35;26;34;26
FRAEX38873_v2_000400520;144;293;60;151;260;121
FRAEX38873_v2_000400530;20;62;29;39;46;49
FRAEX38873_v2_000400540;10;50;10;8;22;13
FRAEX38873_v2_000400550;22;19;8;13;14;14
FRAEX38873_v2_000400560;0;0;0;0;0;0
FRAEX38873_v2_000400570;112;179;213;284;242;236
FRAEX38873_v2_000400580;0;0;0;0;0;0
FRAEX38873_v2_000400590;0;0;0;0;0;0
FRAEX38873_v2_000400600;0;0;0;0;0;0
FRAEX38873_v2_000400610;0;0;0;0;0;0
FRAEX38873_v2_000400620;0;0;0;0;0;0
FRAEX38873_v2_000400630;0;0;0;0;0;0
FRAEX38873_v2_000400640;0;0;0;0;1;0
FRAEX38873_v2_000400650;0;0;0;0;0;0
FRAEX38873_v2_000400660;0;0;0;0;0;0
FRAEX38873_v2_000400670;1;2;0;3;0;0
FRAEX38873_v2_000400680;2;0;0;0;0;0
FRAEX38873_v2_000400690;0;0;0;0;0;0
FRAEX38873_v2_000400700;6;4;7;1;2;0
FRAEX38873_v2_000400710;0;0;0;0;0;0
FRAEX38873_v2_000400720;13;9;5;9;14;9
FRAEX38873_v2_000400730;0;0;0;1;1;0
FRAEX38873_v2_000400740;0;2;1;0;0;0
FRAEX38873_v2_000400750;0;0;0;0;0;0
FRAEX38873_v2_000400760;0;0;0;0;0;0
FRAEX38873_v2_000400770;0;0;0;0;0;0
FRAEX38873_v2_000400780;0;0;0;0;0;1
FRAEX38873_v2_000400790;0;0;0;0;0;0
FRAEX38873_v2_000400800;0;0;12;7;7;1
FRAEX38873_v2_000000490;11;9;8;10;11;21
FRAEX38873_v2_000000500;0;0;0;0;0;0
FRAEX38873_v2_000000510;2;6;3;1;0;1
FRAEX38873_v2_000000520;96;94;30;72;53;93
FRAEX38873_v2_000000530;0;5;0;1;2;6
FRAEX38873_v2_000000540;1544;1195;898;1114;1124;1305
FRAEX38873_v2_000000550;0;0;1;0;0;0
FRAEX38873_v2_000000560;457;621;330;1164;811;660
FRAEX38873_v2_000000570;0;0;11;5;0;3
FRAEX38873_v2_000000580;0;0;0;2;0;0
FRAEX38873_v2_000000590;5;3;3;56;12;6
FRAEX38873_v2_000000600;1277;1358;1672;1805;2094;2020
FRAEX38873_v2_000000610;152;145;96;213;283;189
FRAEX38873_v2_000000630;5;0;0;13;7;1
FRAEX38873_v2_000000640;939;1005;638;897;756;989
FRAEX38873_v2_000000650;519;655;628;837;890;641
FRAEX38873_v2_000000660;8472;32338;36684;614;782;1326
FRAEX38873_v2_000000670;601;571;538;885;746;655
FRAEX38873_v2_000000680;0;0;0;0;0;0
FRAEX38873_v2_000000690;698;714;824;1646;841;687
FRAEX38873_v2_000000700;56;43;66;25;50;53
FRAEX38873_v2_000000720;0;0;0;0;0;0
FRAEX38873_v2_000000730;0;0;0;4;0;0
FRAEX38873_v2_000000740;269;344;382;214;274;264
FRAEX38873_v2_000000760;6;1;10;31;40;21
FRAEX38873_v2_000000770;50;40;14;95;42;73
FRAEX38873_v2_000000780;113;322;312;1703;2300;1774
FRAEX38873_v2_000000790;182;210;78;492;306;245
FRAEX38873_v2_000000800;51;44;46;57;78;55
FRAEX38873_v2_000000810;0;0;0;0;0;0
FRAEX38873_v2_000000820;1263;1219;1720;887;869;1156
FRAEX38873_v2_000000830;0;0;0;0;0;0
FRAEX38873_v2_000000850;99;79;161;88;119;62
FRAEX38873_v2_000000860;907;1174;1045;2397;1722;2132
FRAEX38873_v2_000000870;7809;6722;4890;5933;5757;4351
FRAEX38873_v2_000000880;685;566;420;376;403;383
FRAEX38873_v2_000000890;27;8;12;6;35;3
FRAEX38873_v2_000000900;328;334;322;941;937;999
FRAEX38873_v2_000400810;59;61;56;65;54;49
FRAEX38873_v2_000400820;19;12;13;39;26;25
FRAEX38873_v2_000400830;14;23;11;25;18;9
FRAEX38873_v2_000400840;0;0;0;0;0;0
FRAEX38873_v2_000400850;62;76;49;78;71;53
FRAEX38873_v2_000400860;0;9;0;3;2;1
FRAEX38873_v2_000400870;0;0;0;0;0;0
FRAEX38873_v2_000400880;112;159;138;291;319;223
FRAEX38873_v2_000400890;857;1166;510;1295;1060;709
FRAEX38873_v2_000400900;1013;1246;549;1216;1342;686
FRAEX38873_v2_000400910;67;118;39;71;56;40
FRAEX38873_v2_000400920;16;19;8;7;14;7
FRAEX38873_v2_000401030;0;4;5;6;2;2
FRAEX38873_v2_000401040;22;29;7;21;31;29
FRAEX38873_v2_000401050;115;80;54;21;74;59
FRAEX38873_v2_000401060;123;111;65;42;49;59
FRAEX38873_v2_000090760;7;6;99;418;249;825
FRAEX38873_v2_000090770;0;0;0;0;0;0
FRAEX38873_v2_000090780;0;0;50;352;158;872
FRAEX38873_v2_000090790;1;10;55;692;151;628
FRAEX38873_v2_000090800;0;4;0;30;17;16
FRAEX38873_v2_000090810;0;1;10;25;9;0
FRAEX38873_v2_000090820;10;10;27;1;24;12
FRAEX38873_v2_000090830;959;1389;1499;489;640;596
FRAEX38873_v2_000090840;85;90;119;98;230;42
FRAEX38873_v2_000090850;76;42;44;254;204;150
FRAEX38873_v2_000090860;0;0;0;339;69;97
FRAEX38873_v2_000090870;1996;1409;1778;4926;4950;4058
FRAEX38873_v2_000090880;157;326;233;269;193;321
FRAEX38873_v2_000090890;50;87;80;127;181;59
FRAEX38873_v2_000090900;372;393;371;237;361;232
FRAEX38873_v2_000162390;695;819;712;2473;1807;2238
FRAEX38873_v2_000162400;696;609;642;651;612;638
FRAEX38873_v2_000162410;1522;1630;1592;3800;2765;3330
FRAEX38873_v2_000162420;30;163;93;135;92;55
FRAEX38873_v2_000162430;420;473;761;367;210;237
FRAEX38873_v2_000162440;53;144;98;144;121;113
FRAEX38873_v2_000162450;0;0;0;5;0;0
FRAEX38873_v2_000162460;0;0;5;189;20;171
FRAEX38873_v2_000162470;1459;1152;1127;522;745;787
FRAEX38873_v2_000162480;3;8;14;9;11;9
FRAEX38873_v2_000162490;28;18;22;3;10;9
FRAEX38873_v2_000162500;772;188;50;449;559;626
FRAEX38873_v2_000162510;0;0;0;19;283;106
FRAEX38873_v2_000162520;25;22;42;220;119;308
FRAEX38873_v2_000162530;574;714;560;1412;1081;1150
FRAEX38873_v2_000162540;10;13;20;68;133;87
FRAEX38873_v2_000162550;59;169;104;29;9;41
FRAEX38873_v2_000162560;1404;3417;5869;599;1152;1092
FRAEX38873_v2_000162570;246;324;369;292;353;228
FRAEX38873_v2_000162580;275;254;354;1842;897;810
FRAEX38873_v2_000162590;430;724;819;386;501;387
FRAEX38873_v2_000162600;0;0;0;0;0;0
FRAEX38873_v2_000162610;1;9;30;16;15;12
FRAEX38873_v2_000162620;67;138;296;143;224;169
FRAEX38873_v2_000162630;397;482;650;1827;1586;1065
FRAEX38873_v2_000162640;18;129;106;152;75;30
FRAEX38873_v2_000162650;15458;14978;10274;7509;5311;8112
FRAEX38873_v2_000162660;41;15;30;116;79;55
FRAEX38873_v2_000162670;1050;967;1240;1700;1382;1347
FRAEX38873_v2_000162680;1346;1023;1223;597;762;540
FRAEX38873_v2_000162690;0;4;0;4;0;0
FRAEX38873_v2_000162700;11;31;13;142;99;26
FRAEX38873_v2_000162710;0;0;0;0;0;0
FRAEX38873_v2_000217040;1;4;2;4;6;5
FRAEX38873_v2_000217050;541;340;355;408;445;330
FRAEX38873_v2_000217060;0;0;0;0;0;0
FRAEX38873_v2_000217070;301;197;316;271;213;178
FRAEX38873_v2_000217080;0;0;0;0;1;0
FRAEX38873_v2_000217090;2417;2276;1737;1586;1762;1800
FRAEX38873_v2_000217100;41;69;62;62;84;55
FRAEX38873_v2_000217110;199;385;508;435;988;769
FRAEX38873_v2_000217120;407;467;390;404;388;389
FRAEX38873_v2_000217130;344;406;466;962;889;944
FRAEX38873_v2_000217140;589;525;457;536;475;554
FRAEX38873_v2_000217150;605;551;444;364;457;427
FRAEX38873_v2_000217160;282;334;300;144;253;236
FRAEX38873_v2_000217170;60;33;44;37;44;33
FRAEX38873_v2_000217180;45;51;32;80;122;69
FRAEX38873_v2_000217190;443;501;381;523;460;542
FRAEX38873_v2_000217200;0;0;0;0;0;0
FRAEX38873_v2_000217210;970;1040;874;745;919;927
FRAEX38873_v2_000217220;57;168;121;2044;194;694
FRAEX38873_v2_000217230;14;25;19;7;6;4
FRAEX38873_v2_000401130;1;5;0;0;2;0
FRAEX38873_v2_000401140;2;1;0;1;0;0
FRAEX38873_v2_000401150;185;175;81;69;85;58
FRAEX38873_v2_000401160;353;322;146;76;167;186
FRAEX38873_v2_000401170;9;25;3;10;4;6
FRAEX38873_v2_000401180;0;0;0;0;1;0
FRAEX38873_v2_000401190;39;58;28;55;53;20
FRAEX38873_v2_000401200;199;185;103;123;117;141
FRAEX38873_v2_000401210;4;1;1;1;1;0
FRAEX38873_v2_000401220;2;0;0;0;1;1
FRAEX38873_v2_000259040;175;95;123;239;225;130
FRAEX38873_v2_000259050;0;0;0;0;0;0
FRAEX38873_v2_000259060;547;353;348;294;397;275
FRAEX38873_v2_000259070;0;0;0;0;0;0
FRAEX38873_v2_000259080;0;0;0;0;0;0
FRAEX38873_v2_000259090;238;49;3;12;1;15
FRAEX38873_v2_000259100;0;1;0;0;2;0
FRAEX38873_v2_000259110;5;5;6;55;43;3
FRAEX38873_v2_000259120;0;0;0;0;0;0
FRAEX38873_v2_000259130;46;24;10;13;12;2
FRAEX38873_v2_000259140;0;1;0;0;3;0
FRAEX38873_v2_000259150;743;692;677;736;743;672
FRAEX38873_v2_000259160;132;260;170;180;317;145
FRAEX38873_v2_000259170;0;0;0;0;0;0
FRAEX38873_v2_000401230;0;0;0;0;0;0
FRAEX38873_v2_000401240;0;0;0;0;0;0
FRAEX38873_v2_000300100;7;4;2;5;3;7
FRAEX38873_v2_000300110;6;2;1;25;8;14
FRAEX38873_v2_000300120;1090;1199;2081;2702;1383;2161
FRAEX38873_v2_000300140;0;0;0;0;0;0
FRAEX38873_v2_000300150;0;0;0;0;0;0
FRAEX38873_v2_000300160;183;174;184;223;240;207
FRAEX38873_v2_000300170;251;125;181;242;187;213
FRAEX38873_v2_000300180;0;0;0;0;0;0
FRAEX38873_v2_000300190;270;171;102;52;52;61
FRAEX38873_v2_000300200;31;27;34;31;22;34
FRAEX38873_v2_000300210;60;30;22;36;17;21
FRAEX38873_v2_000300220;2976;5719;7777;28913;11431;25041
FRAEX38873_v2_000300230;876;791;818;678;639;814
FRAEX38873_v2_000300240;169;131;132;286;211;197
FRAEX38873_v2_000300250;182;231;210;203;156;190
FRAEX38873_v2_000300270;1335;861;736;738;931;773
FRAEX38873_v2_000300280;3733;4343;3924;3926;3817;3730
FRAEX38873_v2_000300290;0;0;2;5;4;0
FRAEX38873_v2_000300300;0;0;0;0;0;0
FRAEX38873_v2_000300310;477;532;109;183;168;184
FRAEX38873_v2_000300320;0;0;0;10;4;8
FRAEX38873_v2_000300330;42;62;23;370;60;59
FRAEX38873_v2_000300340;158;662;672;316;145;123
FRAEX38873_v2_000300350;184;186;222;500;322;308
FRAEX38873_v2_000300360;522;448;384;583;532;440
FRAEX38873_v2_000300370;34;16;21;493;131;32
FRAEX38873_v2_000300380;5693;5418;4533;7305;5325;7581
FRAEX38873_v2_000300390;928;683;736;611;656;755
FRAEX38873_v2_000300400;1;0;0;35;13;0
FRAEX38873_v2_000300410;6;11;2;0;0;0
FRAEX38873_v2_000300420;3;0;0;0;0;0
FRAEX38873_v2_000300430;3261;4226;4908;2140;2653;2251
FRAEX38873_v2_000300440;14154;30966;25259;4460;4965;2568
FRAEX38873_v2_000300450;335;441;287;281;284;265
FRAEX38873_v2_000300460;2787;2528;2561;4514;4375;3873
FRAEX38873_v2_000300470;4;0;3;0;0;1
FRAEX38873_v2_000300480;2091;1895;2469;2534;2654;2094
FRAEX38873_v2_000300490;402;509;610;471;474;459
FRAEX38873_v2_000300500;1541;1422;1935;1573;1770;2236
FRAEX38873_v2_000300510;1691;1489;1083;537;878;676
FRAEX38873_v2_000300520;286;218;392;631;487;437
FRAEX38873_v2_000300530;0;0;0;6;11;5
FRAEX38873_v2_000300540;1763;1820;1969;3704;3121;3493
FRAEX38873_v2_000300550;120;49;28;12;24;18
FRAEX38873_v2_000328590;0;0;6;15;21;1
FRAEX38873_v2_000328610;2450;1973;2337;1876;2214;1621
FRAEX38873_v2_000328620;1091;2161;594;2170;1407;1088
FRAEX38873_v2_000328630;3718;3963;3759;2332;3078;2028
FRAEX38873_v2_000328640;228;344;288;679;785;246
FRAEX38873_v2_000328650;198;427;363;173;224;271
FRAEX38873_v2_000328660;0;1;4;2;0;1
FRAEX38873_v2_000328670;10;0;36;74;108;214
FRAEX38873_v2_000401250;0;0;0;0;0;0
FRAEX38873_v2_000401260;0;0;0;0;0;0
FRAEX38873_v2_000401270;0;2;0;0;2;1
FRAEX38873_v2_000401280;0;0;0;0;0;0
FRAEX38873_v2_000401290;4;0;0;0;1;0
FRAEX38873_v2_000353960;33;83;62;246;226;69
FRAEX38873_v2_000353970;1273;1409;1117;2067;1648;2373
FRAEX38873_v2_000353980;48;100;43;194;173;69
FRAEX38873_v2_000353990;1220;677;148;892;697;275
FRAEX38873_v2_000354000;0;0;0;0;1;0
FRAEX38873_v2_000354010;127;128;151;195;236;196
FRAEX38873_v2_000354020;1537;833;556;2971;3197;3678
FRAEX38873_v2_000354030;51;92;138;1516;544;193
FRAEX38873_v2_000354040;626;634;690;788;779;703
FRAEX38873_v2_000354050;0;0;0;0;0;0
FRAEX38873_v2_000354060;5;0;2;7;5;5
FRAEX38873_v2_000354070;0;0;0;0;0;0
FRAEX38873_v2_000354080;110;135;156;169;133;221
FRAEX38873_v2_000354090;1;0;1;9;17;3
FRAEX38873_v2_000354100;790;814;800;1109;1271;1161
FRAEX38873_v2_000354110;349;250;174;133;131;146
FRAEX38873_v2_000354120;8;2;1;2;0;0
FRAEX38873_v2_000354130;423;482;310;707;788;170
FRAEX38873_v2_000354140;38;52;62;141;165;75
FRAEX38873_v2_000401300;39;24;8;27;15;30
FRAEX38873_v2_000401310;39;35;15;16;12;7
FRAEX38873_v2_000401320;15;10;11;8;21;5
FRAEX38873_v2_000401330;0;9;2;9;4;1
FRAEX38873_v2_000380270;38;535;464;36;2;8
FRAEX38873_v2_000380280;0;0;0;0;0;0
FRAEX38873_v2_000380290;8;114;39;6;0;0
FRAEX38873_v2_000380300;18;5;11;136;99;67
FRAEX38873_v2_000380310;33;52;28;12;32;33
FRAEX38873_v2_000380320;1;0;7;31;32;19
FRAEX38873_v2_000380330;6450;7188;6946;3658;3998;3732
FRAEX38873_v2_000380340;0;0;0;0;0;0
FRAEX38873_v2_000380350;143;122;213;93;95;98
FRAEX38873_v2_000380360;5484;6721;5505;2098;2471;2287
FRAEX38873_v2_000380370;358;321;170;406;545;538
FRAEX38873_v2_000380380;837;525;848;426;697;527
FRAEX38873_v2_000380390;4086;3967;2825;3623;2697;3646
FRAEX38873_v2_000380400;4682;3963;7194;23947;18729;23938
FRAEX38873_v2_000380410;64;52;50;411;174;172
FRAEX38873_v2_000380430;2519;2113;2405;1692;1509;1403
FRAEX38873_v2_000380450;0;0;0;0;0;0
FRAEX38873_v2_000000910;291;290;335;429;471;414
FRAEX38873_v2_000000920;176;168;360;2;6;23
FRAEX38873_v2_000000930;1124;1003;1006;950;1199;929
FRAEX38873_v2_000000940;82;7;10;66;25;24
FRAEX38873_v2_000000950;5901;4821;7048;9494;6817;7996
FRAEX38873_v2_000000960;0;0;0;0;0;0
FRAEX38873_v2_000000970;3;0;1;0;0;0
FRAEX38873_v2_000000980;364;272;244;802;621;517
FRAEX38873_v2_000000990;26;16;15;56;94;40
FRAEX38873_v2_000001000;12;0;15;7;23;12
FRAEX38873_v2_000001010;719;681;847;720;657;625
FRAEX38873_v2_000001020;221;168;241;127;167;156
FRAEX38873_v2_000001030;21;30;1202;31;82;159
FRAEX38873_v2_000001040;69;100;276;51;90;58
FRAEX38873_v2_000001050;0;0;1;9;0;8
FRAEX38873_v2_000001060;0;0;0;0;0;0
FRAEX38873_v2_000001070;565;540;306;148;184;199
FRAEX38873_v2_000001080;70;102;78;81;89;66
FRAEX38873_v2_000001090;443;617;876;1150;774;948
FRAEX38873_v2_000001100;176;179;165;469;275;257
FRAEX38873_v2_000013420;0;0;0;0;0;0
FRAEX38873_v2_000013430;0;0;0;0;0;0
FRAEX38873_v2_000013440;1129;688;985;1072;1255;1088
FRAEX38873_v2_000013450;1791;1532;1438;1336;1549;1309
FRAEX38873_v2_000013460;9;0;38;173;135;12
FRAEX38873_v2_000013470;941;826;935;1364;1477;1194
FRAEX38873_v2_000013480;70;68;34;32;32;44
FRAEX38873_v2_000013490;28;37;52;100;67;45
FRAEX38873_v2_000013520;2085;1117;1117;958;1040;1144
FRAEX38873_v2_000013530;253;281;310;360;408;368
FRAEX38873_v2_000013540;57;46;37;45;64;50
FRAEX38873_v2_000013550;23;9;15;17;18;16
FRAEX38873_v2_000013560;0;0;0;0;0;0
FRAEX38873_v2_000013570;12;2;5;5;5;0
FRAEX38873_v2_000013580;1493;1225;1187;1799;2081;1503
FRAEX38873_v2_000023060;75;22;55;237;351;172
FRAEX38873_v2_000023070;207;132;278;18;43;53
FRAEX38873_v2_000023080;2320;2350;4079;3234;3994;3177
FRAEX38873_v2_000023090;37;17;40;7;91;37
FRAEX38873_v2_000023100;0;0;0;0;28;15
FRAEX38873_v2_000023110;352;6001;13039;138;736;359
FRAEX38873_v2_000023120;838;783;799;796;836;795
FRAEX38873_v2_000023130;2188;2870;2740;5081;10864;6332
FRAEX38873_v2_000023140;73;38;39;142;124;112
FRAEX38873_v2_000023150;0;0;0;0;0;0
FRAEX38873_v2_000023160;744;699;724;1235;1152;1160
FRAEX38873_v2_000023170;1;8;107;51;41;8
FRAEX38873_v2_000023180;0;0;0;0;0;0
FRAEX38873_v2_000023190;4153;3964;4219;2830;3050;4148
FRAEX38873_v2_000023200;2073;1784;1621;2386;2377;2240
FRAEX38873_v2_000023210;0;0;0;0;0;0
FRAEX38873_v2_000032170;918;803;684;6612;9583;4533
FRAEX38873_v2_000032180;11;1;4;54;33;20
FRAEX38873_v2_000032190;860;627;550;494;541;542
FRAEX38873_v2_000032200;454;407;324;271;299;228
FRAEX38873_v2_000032210;59;39;98;11;42;55
FRAEX38873_v2_000032220;63;98;187;23;59;79
FRAEX38873_v2_000032230;0;0;0;34;0;0
FRAEX38873_v2_000032240;11;6;4;27;35;3
FRAEX38873_v2_000032250;0;0;0;0;0;0
FRAEX38873_v2_000400930;23;23;30;53;33;19
FRAEX38873_v2_000400940;9;5;11;29;44;18
FRAEX38873_v2_000400950;5;7;6;14;17;18
FRAEX38873_v2_000400960;0;0;0;0;0;0
FRAEX38873_v2_000400970;24;10;7;25;26;23
FRAEX38873_v2_000042390;0;0;0;0;0;0
FRAEX38873_v2_000042400;0;5;5;0;0;1
FRAEX38873_v2_000042410;114;139;120;213;171;146
FRAEX38873_v2_000042420;3;6;0;10;3;0
FRAEX38873_v2_000042430;268;325;277;383;324;247
FRAEX38873_v2_000042440;2409;1892;2149;1176;1225;1395
FRAEX38873_v2_000042450;6;2;3;1;0;4
FRAEX38873_v2_000042460;0;5;4;9;5;0
FRAEX38873_v2_000042470;43;13;31;23;36;30
FRAEX38873_v2_000042480;4591;5079;3382;3867;3463;3982
FRAEX38873_v2_000042490;37;47;15;184;283;56
FRAEX38873_v2_000042500;2127;1778;1537;1742;1836;1972
FRAEX38873_v2_000042510;198;232;165;197;86;137
FRAEX38873_v2_000042520;791;702;1052;1152;1091;1140
FRAEX38873_v2_000042530;2002;2024;1879;3112;3296;2791
FRAEX38873_v2_000042540;524;423;429;238;396;320
FRAEX38873_v2_000042550;2449;2307;2376;2680;2595;2408
FRAEX38873_v2_000042560;151;89;99;361;172;287
FRAEX38873_v2_000042570;517;416;514;1316;1157;1024
FRAEX38873_v2_000042580;431;328;296;304;444;346
FRAEX38873_v2_000042590;79;49;43;61;79;58
FRAEX38873_v2_000042600;1148;1583;1985;1081;1359;1248
FRAEX38873_v2_000042610;0;0;0;0;0;0
FRAEX38873_v2_000042620;2514;2792;3706;1455;1860;1620
FRAEX38873_v2_000042630;70;138;729;532;21;1300
FRAEX38873_v2_000042640;1640;1511;1626;3456;2655;2220
FRAEX38873_v2_000042650;1762;1972;1756;477;357;729
FRAEX38873_v2_000042660;0;0;0;27;2;8
FRAEX38873_v2_000400980;398;498;493;526;624;724
FRAEX38873_v2_000050670;81;124;121;155;211;89
FRAEX38873_v2_000050680;516;427;593;1091;1096;796
FRAEX38873_v2_000050700;24;90;61;29;68;67
FRAEX38873_v2_000050710;1788;1489;901;3569;2579;2498
FRAEX38873_v2_000050720;4868;4167;3714;2618;3721;3161
FRAEX38873_v2_000058330;473;438;487;611;643;575
FRAEX38873_v2_000058340;86;101;18;4;1;1
FRAEX38873_v2_000058350;55;10;17;103;22;25
FRAEX38873_v2_000058360;128;120;96;115;124;112
FRAEX38873_v2_000058370;1047;1017;1143;944;1098;994
FRAEX38873_v2_000058380;1599;1133;986;1557;1631;1371
FRAEX38873_v2_000058390;1214;896;843;921;707;379
FRAEX38873_v2_000058400;1076;751;236;524;374;108
FRAEX38873_v2_000058410;0;0;14;23;17;4
FRAEX38873_v2_000058420;1876;1776;2169;3277;2282;2643
FRAEX38873_v2_000058430;110;117;167;8;38;37
FRAEX38873_v2_000058440;203;225;213;112;196;115
FRAEX38873_v2_000058450;79;87;134;438;311;177
FRAEX38873_v2_000058460;188;176;223;238;191;255
FRAEX38873_v2_000058470;240;260;146;383;291;255
FRAEX38873_v2_000058480;15;3;31;31;38;26
FRAEX38873_v2_000058490;25799;22918;22003;35834;26107;35472
FRAEX38873_v2_000058500;418;414;397;423;564;459
FRAEX38873_v2_000058510;0;0;0;0;0;0
FRAEX38873_v2_000058520;1435;1112;1479;1181;1450;1005
FRAEX38873_v2_000058530;43;35;13;17;13;15
FRAEX38873_v2_000058540;1;0;3;5;3;3
FRAEX38873_v2_000058550;1362;1131;1319;545;1130;752
FRAEX38873_v2_000058560;8;10;2;0;4;0
FRAEX38873_v2_000058570;186;111;99;47;72;58
FRAEX38873_v2_000058580;1253;1459;1791;1409;1552;1357
FRAEX38873_v2_000058590;816;1012;911;755;854;655
FRAEX38873_v2_000058600;755;732;681;1049;990;895
FRAEX38873_v2_000058610;938;2798;2961;816;793;4443
FRAEX38873_v2_000066570;761;787;1009;1237;1370;1730
FRAEX38873_v2_000066580;4408;3318;3703;3470;3834;3546
FRAEX38873_v2_000066590;58;73;38;108;123;65
FRAEX38873_v2_000066600;0;0;2;8;9;2
FRAEX38873_v2_000066610;1091;527;87;505;2328;568
FRAEX38873_v2_000066620;3;0;0;0;0;0
FRAEX38873_v2_000066630;212;216;303;302;352;335
FRAEX38873_v2_000066640;0;0;0;3;0;0
FRAEX38873_v2_000066650;0;0;0;0;0;0
FRAEX38873_v2_000066660;1384;3251;2681;1291;1398;1687
FRAEX38873_v2_000066670;6323;8425;9129;16554;37362;16444
FRAEX38873_v2_000066680;146;142;153;87;208;68
FRAEX38873_v2_000066690;587;545;626;1222;1171;1100
FRAEX38873_v2_000066700;2486;2563;2127;3071;3126;2933
FRAEX38873_v2_000066710;887;807;840;948;1242;908
FRAEX38873_v2_000066720;18;9;7;5;3;1
FRAEX38873_v2_000066730;240;171;549;330;451;439
FRAEX38873_v2_000066740;2604;2531;2130;600;1165;940
FRAEX38873_v2_000066750;77;77;109;0;20;10
FRAEX38873_v2_000066760;12;0;8;5;20;12
FRAEX38873_v2_000066770;21;88;137;344;108;581
FRAEX38873_v2_000066780;1360;1249;2273;642;675;523
FRAEX38873_v2_000066790;938;659;513;924;768;841
